zip;street;number_from;;number_to;;number_variety;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
14469;Hermann-Mächtig-Str;10;;28;;even;;1306;;;
14469;Hermann-Mattern-Promenade;32;;112;;even;;1306;;;
14469;Hermann-Mattern-Promenade;61;;119;;odd;;1306;;;
14469;Herta-Hammerbacher-Str;8;;26;;even;;1306;;;
14469;Herta-Hammerbacher-Str;13;;27;;odd;;1306;;;
14469;Ludwig-Lesser-Str;;;;;all;;1306;;;
14469;Luzernstr;1;;9;;odd;;1306;;;
14469;Max-Wundel-Str;;;;;all;;1306;;;
14469;Melchior-Bauer-Str;19;;37;;odd;;1306;;;
14469;Orville-Wright-Str;44;;98;;even;;1306;;;
14469;Paul-Engelhard-Str;39;;81;B;odd;;1306;;;
14469;Paul-Engelhard-Str;44;;80;A;even;;1306;;;
14469;Salzmannweg;;;;;all;;1306;;;
14469;Theodor-Echtermeyer-Str;2;;20;;all;;1306;;;
14469;Walter-Funcke-Str;;;;;all;;1306;;;
14469;Am Schragen;;;;;all;;1307;;;
14469;August-Bonness-Str;1;;7;;odd;;1307;;;
14469;Bartholomäus-Neumann-Str;;;;;all;;1307;;;
14469;Carl-Christian-Horvath-Str;1;;13;;odd;;1307;;;
14469;Georg-Hermann-Allee;9;;19;;odd;;1307;;;
14469;Jakob-von-Gundling-Str;;;;;all;;1307;;;
14469;Johannes-Lepsius-Str;;;;;all;;1307;;;
14469;Karen-Jeppe-Str;;;;;all;;1307;;;
14469;Kiepenheuerallee;5;;;;all;;1307;;;
14469;Pappelallee;1;;5;;all;;1307;;;
14469;Richard-Schäfer-Str;;;;;all;;1307;;;
14469;Alexander-Klein-Str;;;;;all;;1308;;;
14469;David-Gilly-Str;4;;;;all;;1308;;;
14469;Erich-Mendelsohn-Allee;1;;29;;odd;;1308;;;
14469;Erwin-Barth-Str;;;;;all;;1308;;;
14469;Hermann-Mattern-Promenade;1;;39;;odd;;1308;;;
14469;Hermann-Mattern-Promenade;8;;30;;even;;1308;;;
14469;Karl-Krieger-Str;;;;;all;;1308;;;
14469;Kirschallee;179;;;;all;;1308;;;
14469;Konrad-Wachsmann-Str;;;;;all;;1308;;;
14469;Ludwig-Boltzmann-Str;8;;10;;even;;1308;;;
14469;Melchior-Bauer-Str;6;;38;;even;;1308;;;
14469;Orville-Wright-Str;2;;42;;even;;1308;;;
14469;Pappelallee;14;;17;;all;;1308;;;
14469;Paul-Engelhard-Str;1;;37;;all;;1308;;;
14469;Reiherweg;;;;;all;;1308;;;
14469;Schulplatz;7;;;;all;;1308;;;
14469;Angermannstr;;;;;all;;1309;;;
14469;Erich-Arendt-Str;;;;;all;;1309;;;
14469;Esplanade;;;;;all;;1309;;;
14469;Georg-Hermann-Allee;32;;98;C;even;;1309;;;
14469;Georg-Hermann-Allee;39;;105;;odd;;1309;;;
14469;Gertrud-Feiertag-Str;;;;;all;;1309;;;
14469;Hermann-Kasack-Str;;;;;all;;1309;;;
14469;Horst-Bienek-Str;;;;;all;;1309;;;
14469;Jochen-Klepper-Str;;;;;all;;1309;;;
14469;Kiepenheuerallee;28;;;;all;;1309;;;
14469;Nedlitzer Str;15;;27;C;all;;1309;;;
14469;Reinhold-Schneider-Str;;;;;all;;1309;;;
14469;Am Hämphorn;;;;;all;;1401;;;
14469;GA Anglerwiese;;;;;all;;1401;;;
14469;GA Meedehorn;;;;;all;;1401;;;
14469;Im Königswald;;;;;all;;1401;;;
14469;Kladower Str;;;;;all;;1401;;;
14469;Krampnitzer Str;;;;;all;;1401;;;
14469;Weinmeisterweg;;;;;all;;1401;;;
14469;Zur Anglerwiese;;;;;all;;1401;;;
14469;Am alten Mörtelwerk;9;;23;;all;;1501;;;
14469;Am Langen Berg;;;;;all;;1501;;;
14469;Baumhaselring;1;;109;;odd;;1501;;;
14469;Baumhaselring;2;;164;A;even;;1501;;;
14469;Baumschulenweg;6;A;6;E;all;;1501;;;
14469;Eichenring;1;;41;;odd;;1501;;;
14469;Eichenring;10;;58;;even;;1501;;;
14469;Kahlenbergstr;6;;9;;all;;1501;;;
14469;Kirschenstieg;;;;;all;;1501;;;
14469;Krumme Str;;;;;all;;1501;;;
14469;Mehlbeerenweg;2;;12;;even;;1501;;;
14469;Mehlbeerenweg;9;;19;;odd;;1501;;;
14469;Roßkastanienstr;1;;15;;odd;;1501;;;
14469;Roßkastanienstr;2;;8;;even;;1501;;;
14469;Schlehenstieg;;;;;all;;1501;;;
14469;Vogelbeerenweg;;;;;all;;1501;;;
14469;Wacholderstieg;;;;;all;;1501;;;
14469;Weißdornweg;1;;21;;odd;;1501;;;
14469;Weißdornweg;16;;32;;even;;1501;;;
14469;Wildkirschenweg;1;;7;;odd;;1501;;;
14469;Wildkirschenweg;2;;10;;even;;1501;;;
14469;Am Grünen Weg;;;;;all;;1502;;;
14469;Am Kirchblick;;;;;all;;1502;;;
14469;Birkenhügel;12;;12;A;even;;1502;;;
14469;Ecksteinweg;;;;;all;;1502;;;
14469;Kaiser-Friedrich-Str;96;;135;O;all;;1502;;;
14469;Altes Rad;;;;;all;;1503;;;
14469;Am alten Mörtelwerk;1;;5;;odd;;1503;;;
14469;Am Eichenhain;1;;7;;all;;1503;;;
14469;Baumhaselring;111;;123;;odd;;1503;;;
14469;Baumhaselring;166;;198;A;even;;1503;;;
14469;Baumschulenweg;2;;6;;even;;1503;;;
14469;Baumschulenweg;3;;19;;odd;;1503;;;
14469;Baumschulenweg;8;A;18;;even;;1503;;;
14469;Birkenhügel;1;;6;;all;;1503;;;
14469;Brombeerstieg;;;;;all;;1503;;;
14469;Ehrenpfortenbergstr;;;;;all;;1503;;;
14469;Eichenring;43;;51;;odd;;1503;;;
14469;Eichenring;60;;92;;even;;1503;;;
14469;Kahlenbergstr;1;;5;;all;;1503;;;
14469;Kaiser-Friedrich-Str;16;;95;;all;;1503;;;
14469;Kuhforter Damm;;;;;all;;1503;;;
14469;Lindengrund;;;;;all;;1503;;;
14469;Lindstedter Str;;;;;all;;1503;;;
14469;Mehlbeerenweg;3;;7;;odd;;1503;;;
14469;Rosenstieg;;;;;all;;1503;;;
14469;Roßkastanienstr;10;;28;;even;;1503;;;
14469;Roßkastanienstr;17;;61;;odd;;1503;;;
14469;Siedlungsweg;;;;;all;;1503;;;
14469;Thujaweg;;;;;all;;1503;;;
14469;Weißdornweg;2;;14;;even;;1503;;;
14469;Wildapfelweg;;;;;all;;1503;;;
14469;Wildbirnenweg;;;;;all;;1503;;;
14469;Wildkirschenweg;9;;19;;odd;;1503;;;
14469;Am alten Mörtelwerk;2;;8;A;even;;1504;;;
14469;Am Sandberg;;;;;all;;1504;;;
14469;Am Tempelberg;;;;;all;;1504;;;
14469;Carl-Dähne-Str;;;;;all;;1504;;;
14469;Kaiser-Friedrich-Str;1;;15;;all;;1504;;;
14469;Kaiser-Friedrich-Str;140;;148;;all;;1504;;;
14469;Weg nach Bornim;;;;;all;;1504;;;
14469;Zum Düsteren Teich;;;;;all;;1504;;;
14469;Am Bahnhof;;;;;all;;1601;;;
14469;Am Blinker;;;;;all;;1601;;;
14469;Am Konsumplatz;;;;;all;;1601;;;
14469;Am Küssel;;;;;all;;1601;;;
14469;Ausbau;;;;;all;;1601;;;
14469;Bollmannsteig;;;;;all;;1601;;;
14469;Dorfstr (OT Grube);;;;;all;;1601;;;
14469;Ebereschenweg (OT Grube);;;;;all;;1601;;;
14469;Feldweg (OT Grube);;;;;all;;1601;;;
14469;Forellensprung;;;;;all;;1601;;;
14469;Hauptweg;;;;;all;;1601;;;
14469;Klabautermann;;;;;all;;1601;;;
14469;Laubenweg;;;;;all;;1601;;;
14469;Mühlendamm;;;;;all;;1601;;;
14469;Nattwerder Weg;;;;;all;;1601;;;
14469;Neue Dorfstr;;;;;all;;1601;;;
14469;Petri Heil;218;;;;all;;1601;;;
14469;Rosenweg (OT Grube);;;;;all;;1601;;;
14469;Schlänitzseer Weg;;;;;all;;1601;;;
14469;Schmidtshof;;;;;all;;1601;;;
14469;Schwarzer Weg;;;;;all;;1601;;;
14469;Steife Brise;;;;;all;;1601;;;
14469;Stichkanal;;;;;all;;1601;;;
14469;Strandweg (OT Grube);302;;;;all;;1601;;;
14469;Vogelsang (OT Grube);;;;;all;;1601;;;
14469;Wiesenrain;;;;;all;;1601;;;
14469;Wublitzstr;;;;;all;;1601;;;
14476;Am Urnenfeld;;;;;all;;1701;;;
14476;Ehrenpfortenbergstr (OT Golm);;;;;all;;1701;;;
14476;Habichtweg (OT Golm);;;;;all;;1701;;;
14476;In der Feldmark;32;;64;;even;;1701;;;
14476;In der Feldmark;53;;65;;odd;;1701;;;
14476;In der Heide;;;;;all;;1701;;;
14476;Karl-Liebknecht-Str (OT Golm);;;;;all;;1701;;;
14476;Karl-Liebknecht-Str (OT Golm);24;;;;all;;1701;;;
14476;Küuzchenweg (OT Golm);;;;;all;;1701;;;
14476;Kleiberweg;;;;;all;;1701;;;
14476;Kuhfortdamm;;;;;all;;1701;;;
14476;Meisenweg (OT Golm);;;;;all;;1701;;;
14476;Pirolweg;;;;;all;;1701;;;
14476;Reiherbergstr;1;;8;;all;;1701;;;
14476;Reiherbergstr;36;;69;;all;;1701;;;
14476;Spechtweg;;;;;all;;1701;;;
14476;Sperberweg;;;;;all;;1701;;;
14476;Turmfalkenweg;;;;;all;;1701;;;
14476;Am Golmer Weinberg;;;;;all;;1702;;;
14476;Am Mühlenberg;;;;;all;;1702;;;
14476;Am Zernsee;;;;;all;;1702;;;
14476;Bornimer Chaussee;;;;;all;;1702;;;
14476;Falknerstr;;;;;all;;1702;;;
14476;Fuchsweg;;;;;all;;1702;;;
14476;Galliner Damm;;;;;all;;1702;;;
14476;Geiselbergstr;;;;;all;;1702;;;
14476;Golmer Damm;;;;;all;;1702;;;
14476;Jägerstr (OT Golm);;;;;all;;1702;;;
14476;Kossätenweg;;;;;all;;1702;;;
14476;Reiherbergstr;9;;35;;all;;1702;;;
14476;Ritterstr;;;;;all;;1702;;;
14476;Schwalbenhof;;;;;all;;1702;;;
14476;Storchenhof;;;;;all;;1702;;;
14476;Thomas-Müntzer-Str;;;;;all;;1702;;;
14476;Weinmeisterstr (OT Golm);;;;;all;;1702;;;
14476;Winkelhof;;;;;all;;1702;;;
14476;Zum Mühlenteich;;;;;all;;1702;;;
14476;Am Zachelsberg;;;;;all;;1703;;;
14476;An der Bahn;;;;;all;;1703;;;
14476;Eichenweg (OT Golm);;;;;all;;1703;;;
14476;Elsternstr;;;;;all;;1703;;;
14476;Golmer Fichten;;;;;all;;1703;;;
14476;Grasmückenring;;;;;all;;1703;;;
14476;In der Feldmark;1;;37;;odd;;1703;;;
14476;In der Feldmark;2;;28;;even;;1703;;;
14476;Taubenbogen;;;;;all;;1703;;;
14476;Zaunkönigweg;1;;11;;all;;1703;;;
14476;Zaunkönigweg;15;;;;all;;1703;;;
14476;Zum Großen Herzberg;2;;22;;all;;1703;;;
14467;Am Hang;;;;;all;;2101;;;
14467;Am Neuen Garten;9;;52;;all;;2101;;;
14467;Am Pfingstberg;;;;;all;;2101;;;
14467;Am Reiherbusch;10;;15;;all;;2101;;;
14467;Bertinistr;;;;;all;;2101;;;
14467;Bertiniweg;;;;;all;;2101;;;
14467;Eichbergstr;;;;;all;;2101;;;
14467;Fritz-von-der-Lancken-Str;20;;26;;even;;2101;;;
14467;GA Berg Auf;;;;;all;;2101;;;
14467;GA Pfingstberg;;;;;all;;2101;;;
14467;Glumestr;;;;;all;;2101;;;
14467;Große Weinmeisterstr;1;;48;;all;;2101;;;
14467;Höhenstr;;;;;all;;2101;;;
14467;Langhansstr;;;;;all;;2101;;;
14467;Leistikowstr;;;;;all;;2101;;;
14467;Nedlitzer Str;1;F;8;;all;;2101;;;
14467;Nedlitzer Str;1;;1;D;all;;2101;;;
14467;Puschkinallee;18;;20;;all;;2101;;;
14467;Vogelweide;;;;;all;;2101;;;
14469;Alleestr;1;;7;;all;;2102;;;
14469;Am Neuen Garten;1;;8;;all;;2102;;;
14469;Behlertstr;4;A;12;;all;;2102;;;
14469;Bertha-von-Suttner-Str;;;;;all;;2102;;;
14469;Eisenhartstr;;;;;all;;2102;;;
14469;Friedrich-Ebert-Str;49;;71;B;all;;2102;;;
14469;Hebbelstr;14;;33;;all;;2102;;;
14469;Helene-Lange-Str;1;;10;;all;;2102;;;
14469;Im Neuen Garten;;;;;all;;2102;;;
14469;Jägerallee;19;;;;all;;2102;;;
14469;Reiterweg;;;;;all;;2102;;;
14469;Alleestr;8;;13;;all;;2103;;;
14469;Beyerstr;;;;;all;;2103;;;
14469;Birkenstr;;;;;all;;2103;;;
14469;Große Weinmeisterstr;49;A;64;;all;;2103;;;
14469;Hessestr;;;;;all;;2103;;;
14469;Kleine Weinmeisterstr;;;;;all;;2103;;;
14469;Persiusstr;;;;;all;;2103;;;
14469;Puschkinallee;1;;17;;all;;2103;;;
14469;Russische Kolonie;;;;;all;;2103;;;
14469;Am Jungfernsee;;;;;all;;2104;;;
14469;Am Reiherbusch;1;;9;;all;;2104;;;
14469;Bruno-Taut-Str;;;;;all;;2104;;;
14469;Carl-Adam-Petri-Str;;;;;all;;2104;;;
14469;Carl-Gustav-Jacobi-Str;;;;;all;;2104;;;
14469;Emmy-Noether-Str;;;;;all;;2104;;;
14469;Friedrich-Klausing-Str;;;;;all;;2104;;;
14469;Fritz-von-der-Lancken-Str;1;;11;;all;;2104;;;
14469;Graf-von-Schwerin-Str;;;;;all;;2104;;;
14469;Hermann-Weyl-Str;;;;;all;;2104;;;
14469;Konrad-Zuse-Ring;;;;;all;;2104;;;
14469;Nedlitzer Str;8;B;8;E;all;;2104;;;
14469;Nedlitzer Str;100;;;;all;;2104;;;
14469;Zum Exerzierhaus;;;;;all;;2104;;;
14469;Einsiedelei;;;;;all;;2201;;;
14469;GA Katzensäule;;;;;all;;2201;;;
14469;Gregor-Mendel-Str;21;;23;;all;;2201;;;
14469;Kurt-von-Plettenberg-Str;;;;;all;;2201;;;
14469;Kutscherweg;;;;;all;;2201;;;
14469;Pappelallee;33;;35;G;all;;2201;;;
14469;Parkstr;;;;;all;;2201;;;
14469;Reitbahnstr;;;;;all;;2201;;;
14469;Ruinenbergstr;;;;;all;;2201;;;
14469;Sattlerstr;;;;;all;;2201;;;
14469;Schlegelstr;14;;20;;all;;2201;;;
14469;Schmiedegasse;;;;;all;;2201;;;
14469;An den Gärten;;;;;all;;2202;;;
14469;Brentanoweg;;;;;all;;2202;;;
14469;Gregor-Mendel-Str;1;;16;;all;;2202;;;
14469;Gregor-Mendel-Str;24;;44;;all;;2202;;;
14469;Jägerallee;20;;27;;all;;2202;;;
14469;Johann-Goercke-Allee;;;;;all;;2202;;;
14469;Moritz-von-Egidy-Str;;;;;all;;2202;;;
14469;Pappelallee;38;;49;;all;;2202;;;
14469;Schlegelstr;1;;6;;all;;2202;;;
14469;Tieckstr;;;;;all;;2202;;;
14469;Ulanenweg;;;;;all;;2202;;;
14469;Voltaireweg;;;;;all;;2202;;;
14469;Weinbergstr;1;;17;;all;;2202;;;
14467;Berliner Str;43;;112;;all;;2301;;;
14467;Bücklinstr;;;;;all;;2301;;;
14467;Fritz-Rumpf-Str;;;;;all;;2301;;;
14467;GA Berliner Vorstadt;;;;;all;;2301;;;
14467;Leonardo-da-Vinci-Str;;;;;all;;2301;;;
14467;Ludwig-Richter-Str;1;;12;A;all;;2301;;;
14467;Menzelstr;;;;;all;;2301;;;
14467;Rembrandtstr;;;;;all;;2301;;;
14467;Schwanenallee;;;;;all;;2301;;;
14467;Seestr;11;;21;;all;;2301;;;
14467;Tizianstr;;;;;all;;2301;;;
14467;Behlertstr;1;;4;;all;;2302;;;
14467;Behlertstr;45;;45;A;all;;2302;;;
14467;Berliner Str;26;A;42;;all;;2302;;;
14467;Berliner Str;113;;139;;all;;2302;;;
14467;Dürerstr;;;;;all;;2302;;;
14467;Helmholtzstr;;;;;all;;2302;;;
14467;Ludwig-Richter-Str;13;;34;;all;;2302;;;
14467;Mangerstr;;;;;all;;2302;;;
14467;Mühlenweg;;;;;all;;2302;;;
14467;Otto-Nagel-Str;;;;;all;;2302;;;
14467;Rubensstr;;;;;all;;2302;;;
14467;Schiffbauergasse;;;;;all;;2302;;;
14467;Seestr;2;;10;;all;;2302;;;
14467;Seestr;22;;46;;all;;2302;;;
14467;Allee nach Sanssouci;;;;;all;;3101;;;
14467;Am Grünen Gitter;1;;;;all;;3101;;;
14467;Am Grünen Gitter;4;;;;all;;3101;;;
14467;Breite Str;23;A;23;B;odd;;3101;;;
