vote_district_id;name;address_street;address_nr;address_nr_note;note;zip;full_address;district;barrier_free
7106; Grundschule  Am  Pappelhain  (36/45) ;Galileistr.;6;;;14480;Potsdam;;barrierefrei
7107; Grundschule  Am  Pappelhain  (36/45) ;Galileistr.;6;;;14480;Potsdam;;barrierefrei
7108; Grundschule  Am  Pappelhain  (36/45) ;Galileistr.;6;;;14480;Potsdam;;barrierefrei
7109; Leibniz-Gymnasium  (41) ;Galileistr.;2;;;14480;Potsdam;;barrierefrei
7110; Leibniz-Gymnasium  (41) ;Galileistr.;2;;;14480;Potsdam;;barrierefrei
7111;" Kindergarten  ""Sternchen"" ";Ziolkowskistr.;47-49;;;14480;Potsdam;; nicht  barrierefrei 
7112; Leibniz-Gymnasium  (41) ;Galileistr.;2;;;14480;Potsdam;;barrierefrei
7113; Deutsches  Rotes  Kreuz  -  Behindertenwerkstätten  Potsdam ; Kohlhasenbrücker  Str. ;106;;;14480;Potsdam;;barrierefrei
7201; Schiller  Grundschule  im  Sternfeld ;Sternstr.;68;;;14480;Potsdam;; nicht  barrierefrei 
7202; KATHARINENHOF  WOHNPARK  AM  STERN ;Hans-Albers-Str.;3;;;14480;Potsdam;;barrierefrei
7203; Schiller  Gymnasium ;Fritz-Lang-Str.;15;;;14480;Potsdam;; nicht  barrierefrei 
7204; Schiller  Gymnasium ;Fritz-Lang-Str.;15;;;14480;Potsdam;; nicht  barrierefrei 
7205; Stadtteilschule  Drewitz ;Oskar-Meßter-Str.;4;;;14480;Potsdam;;barrierefrei
7206; Stadtteilschule  Drewitz ;Oskar-Meßter-Str.;4;;;14480;Potsdam;;barrierefrei
7301; Friedrich-W.-von-Steuben-Gesamtschule  (46) ;Ricarda-Huch-Str.;23-27;;;14480;Potsdam;;barrierefrei
7302; Friedrich-W.-von-Steuben-Gesamtschule  (46) ;Ricarda-Huch-Str.;23-27;;;14480;Potsdam;;barrierefrei
7303; Grundschule  Im  Kirchsteigfeld  (56) ;Lise-Meitner-Str.;6;;;14480;Potsdam;;barrierefrei
7304; Grundschule  Im  Kirchsteigfeld  (56) ;Lise-Meitner-Str.;6;;;14480;Potsdam;;barrierefrei
8101; ehemaliges  Gemeindeamt  Uetz-Paaren ; Uetzer  Dorfstr. ;15;;;14476;Potsdam;; nicht  barrierefrei 
8201; Kulturscheune  Marquardt ; Fahrländer  Str. ;1;c;;14476;Potsdam;;barrierefrei
8301; ehemaliges  Gemeindeamt  Satzkorn ; Dorfstr.  Satzkorn ;2;;;14476;Potsdam;; nicht  barrierefrei 
8401; Feuerwehr-Gerätehaus  Fahrland ;Priesterstr.;13;;;14476;Potsdam;;barrierefrei
8402; Regenbogenschule  (7) ; Ketziner  Str. ;31;c;;14476;Potsdam;; nicht  barrierefrei 
8403; Kulturladen  Fahrland ; Ketziner  Str. ;50;a;;14476;Potsdam;; nicht  barrierefrei 
8404; Regenbogenschule  (7) ; Ketziner  Str. ;31;c;;14476;Potsdam;; nicht  barrierefrei 
8501; Bürgerhaus  Neu  Fahrland ; Am  Kirchberg ;51;;;14476;Potsdam;;barrierefrei
8601; Groß  Glienicker  Begegnungshaus ; Glienicker  Dorfstr. ;2;;;14476;Potsdam;;barrierefrei
8602; Grundschule  Hanna  von  Pestalozza  (6) ;Hechtsprung;14-16;;;14476;Potsdam;;barrierefrei
8603; Grundschule  Hanna  von  Pestalozza  (6) ;Hechtsprung;14-16;;;14476;Potsdam;;barrierefrei
8604; Grundschule  Hanna  von  Pestalozza  (6) ;Hechtsprung;14-16;;;14476;Potsdam;;barrierefrei
