street,number_odd_from,number_odd_to,number_even_from,number_even_to,district_nr,district_name,zip,vote_district_id,local_election_district_id,landtag_election_district_id,bundestag_election_district_id
Böcklinstr.,1,11,2,14,305,Müngersdorf,50933,30504,20,14,94
Bodelschwinghstr.,1,21,2,12,307,Weiden,50859,30707,21,14,94
Bodendorfer Str.,1,5,2,2,205,Zollstock,50969,20502,13,13,94
Bodenheimerstr.,1,9,16,40,403,Bickendorf,50827,40302,25,15,95
Bodenshofweg,1,9,2,12,306,Junkersdorf,50858,30608,20,14,94
Bodestr.,1,3,18,20,906,Höhenhaus,51061,90605,38,19,101
Bödingerstr.,7,27,2,34,213,Meschenich,50997,21301,15,13,94
Bödingerstr.,,,300,318,206,Rondorf,50997,20602,15,13,94
Bodinusstr.,1,7,2,10,503,Riehl,50735,50303,33,16,95
Böhmweg,1,5,2,32,809,Neubrück,51109,80901,45,18,93
Bohnenblechweg,1,43,2,24,612,Worringen,50769,61202,29,16,95
Boisseréestr.,1,15,2,22,102,Neustadt/Süd,50674,10225,03,13,94
Bollgartenstr.,5,21,2,8,612,Worringen,50769,61205,29,16,95
Bolligstr.,1,27,2,14,612,Worringen,50769,61204,29,16,95
Bolligstr.,,,18,26,612,Worringen,50769,61205,29,16,95
Boltensternstr.,1,39,2,14d,503,Riehl,50735,50310,33,16,95
Boltensternstr.,,,16,90,503,Riehl,50735,50309,33,16,95
Boltensternstr.,43,47,,,503,Riehl,50735,50302,33,16,95
Boltensternstr.,61,95,,,503,Riehl,50735,50301,33,16,95
Boltensternstr.,111,131,,,503,Riehl,50735,50306,33,16,95
Boltensternstr.,157,173,96,130,504,Niehl,50735,50405,33,16,95
Boltensternstr.,315,351,340,350,504,Niehl,50735,50411,34,16,95
Bolzengasse,1,11,2,4,103,Altstadt/Nord,50667,10304,04,18,93
Bonhoefferstr.,13,21,2,10,908,Stammheim,51061,90803,37,19,101
Bonhoefferstr.,25,25,12,20,908,Stammheim,51061,90806,37,19,101
Bonhoefferstr. (Auweiler),1,7,2,6,607,Esch/Auweiler,50765,60702,28,16,95
Bonifazstr.,1,15,4,22,201,Bayenthal,50968,20103,12,13,94
Bonner Landstr.,1,1,,,208,Rodenkirchen,50996,20803,12,13,94
Bonner Landstr.,25,125a,100,100,207,Hahnwald,50996,20702,15,13,94
Bonner Str.,1,39,2,46,102,Neustadt/Süd,50677,10209,02,13,94
Bonner Str.,41,91,50,98,102,Neustadt/Süd,50677,10210,02,13,94
Bonner Str.,131,153,126,180,201,Bayenthal,50968,20101,12,13,94
Bonner Str.,205,211,,,201,Bayenthal,50968,20102,12,13,94
Bonner Str.,213,249,220,242,201,Bayenthal,50968,20104,12,13,94
Bonner Str.,261,351a,244,328,201,Bayenthal,50968,20108,12,13,94
Bonner Str.,381,417,350,498,202,Marienburg,50968,20202,12,13,94
Bonner Str.,447,545,500,540,202,Marienburg,50968,20204,12,13,94
Bonner Str. (Porz),1,17,2,4,706,Porz,51145,70601,08,17,93
Bonner Str. (Porz),23,51,40,82,705,Eil,51145,70508,08,17,93
Bonner Str. (Porz),53,75,84,106,705,Eil,51145,70507,08,17,93
Bonner Wall,1,19,2,6,102,Neustadt/Süd,50677,10210,02,13,94
Bonner Wall,25,55,82,124,102,Neustadt/Süd,50677,10211,02,13,94
Bonnstr.,1,1,,,307,Weiden,50859,30707,21,14,94
Börnestr.,1,13,14,24,405,Bocklemünd/Mengenich,50829,40504,25,15,95
Bornheimer Str.,1,1a,,,205,Zollstock,50969,20516,13,13,94
Bornheimer Str.,1b,15,22,46,205,Zollstock,50969,20517,13,13,94
Bornheimer Str.,,,2,20,205,Zollstock,50969,20502,13,13,94
Bornheimer Str.,17,19,,,205,Zollstock,50969,20516,13,13,94
Börschgasse,1,9,4,12,714,Zündorf,51143,71401,11,17,93
Börschgasse,11,13,14,16a,714,Zündorf,51143,71404,11,17,93
Börsengäßchen,,,,,101,Altstadt/Süd,50676,10120,06,13,94
Börsengäßchen,,,,,103,Altstadt/Nord,50676,10304,04,18,93
Börsenplatz,1,1,,,103,Altstadt/Nord,50668,10313,04,18,93
Borsigstr.,13,19,2,32,401,Ehrenfeld,50825,40124,24,15,95
Boskoopweg,1,21,2,14,607,Esch/Auweiler,50765,60701,28,16,95
Brabanter Str.,1,9,2,2,104,Neustadt/Nord,50674,10404,04,18,93
Brabanter Str.,13,19,6,8,104,Neustadt/Nord,50674,10403,04,18,93
Brabanter Str.,23,57,,,104,Neustadt/Nord,50672,10402,04,18,93
Brabanter Str.,,,32,50,104,Neustadt/Nord,50672,10401,04,18,93
Bragistr.,,,2,4,808,Rath/Heumar,51107,80801,41,17,93
Brahmsstr.,1,17,2,12,303,Lindenthal,50935,30319,18,14,94
Brambachstr.,3,73,2,90,905,Dellbrück,51069,90514,39,19,101
Brandenburger Str.,1,23,2,24,103,Altstadt/Nord,50668,10307,04,18,93
Brandrosterweg,1,17,,,905,Dellbrück,51069,90515,39,19,101
Brandtsplatz,3,7,,,402,Neuehrenfeld,50825,40211,23,15,95
Braubachstr.,1,19,2,24,405,Bocklemünd/Mengenich,50829,40504,25,15,95
Braugasse,1,31,2,28,308,Lövenich,50859,30803,21,14,94
Brauneberger Str.,1,7,2,10,205,Zollstock,50969,20511,13,13,94
Braunfelsweg,1,1,,,603,Seeberg,50769,60305,26,16,95
Braunlager Weg,1,7,2,8,906,Höhenhaus,51061,90605,38,19,101
Braunstr.,15,25,,,304,Braunsfeld,50933,30406,19,14,94
Braunstr.,31,43,12,44,304,Braunsfeld,50933,30407,19,14,94
Brauweilerstr.,1,27,2,14,308,Lövenich,50859,30804,21,14,94
Brauweilerstr.,65,75,16,62,308,Lövenich,50859,30803,21,14,94
Brauweilerstr.,77,99,64,122,308,Lövenich,50859,30806,21,14,94
Brauweilerstr.,173,183,200,200,308,Lövenich,50859,30805,21,14,94
Brauweilerweg,93,207,6,90,305,Müngersdorf,50933,30504,20,14,94
Bredemeyerstr.,,,2,28,901,Mülheim,51063,90121,36,19,101
Bregenzer Str.,1,17,6,6,303,Lindenthal,50935,30316,18,14,94
Brehmstr.,1,17,,,503,Riehl,50735,50308,33,16,95
Brehmstr.,,,2,6,503,Riehl,50735,50307,33,16,95
Breibergstr.,1,35,2,16,301,Klettenberg,50939,30110,16,14,94
Breite Str.,1,169,6,96,103,Altstadt/Nord,50667,10302,04,18,93
Breite Str.,,,2,4,103,Altstadt/Nord,50667,10304,04,18,93
Breite Str.,,,100,132,103,Altstadt/Nord,50667,10303,04,18,93
Breitenbachstr.,1,23,2,24,704,Gremberghoven,51149,70401,08,17,93
Breiter Wall,3,11,2,34,612,Worringen,50769,61206,29,16,95
