street,number_odd_from,number_odd_to,number_even_from,number_even_to,district_nr,district_name,zip,vote_district_id,local_election_district_id,landtag_election_district_id,bundestag_election_district_id
Bachemer Str.,123,173,110,156,303,Lindenthal,50931,30311,18,14,94
Bachemer Str.,187,193,,,303,Lindenthal,50935,30315,18,14,94
Bachemer Str.,201,233,170,276,303,Lindenthal,50935,30314,18,14,94
Bachemer Str.,235,259,,,303,Lindenthal,50935,30315,18,14,94
Bachemer Str.,261,341a,294,420,303,Lindenthal,50935,30318,18,14,94
Bachemstr.,,,4,14,101,Altstadt/Süd,50676,10118,01,13,94
Bachgrafenstr.,1,3,4,6,904,Holweide,51067,90402,40,19,101
Bachstelzenweg,1,55,2,132,404,Vogelsang,50829,40405,25,15,95
Bachstr.,7,33,2,44,901,Mülheim,51063,90104,36,19,101
Bachstr. (Junkersdorf),1,35,4,28,306,Junkersdorf,50858,30608,20,14,94
Bachstr. (Rodenkirchen),1,27,2,18,208,Rodenkirchen,50996,20810,14,13,94
Bachstr. (Urbach),1,69,2,12,707,Urbach,51145,70703,09,17,93
Badische Allee,,,,,306,Junkersdorf,50858,30609,20,14,94
Badorfer Str.,1,27,2,8,205,Zollstock,50969,20514,13,13,94
Baesweilerhof,1,17,2,42,304,Braunsfeld,50933,30405,19,14,94
Bahide-Arslan-Str.,1,11,2,14,403,Bickendorf,50827,40302,25,15,95
Bahnhof Heumar,,,2,2,808,Rath/Heumar,51107,80810,41,17,93
Bahnhofplatz,1,5,2,4,704,Gremberghoven,51149,70402,08,17,93
Bahnhofplatz,7,7,6,6,704,Gremberghoven,51149,70401,08,17,93
Bahnhofplatz,9,13,8,14,704,Gremberghoven,51149,70402,08,17,93
Bahnhofstr. (Porz),1,27,2,42,706,Porz,51143,70607,11,17,93
Bahnhofstr. (Porz),39,67g,44,142,706,Porz,51143,70608,11,17,93
Bahnhofstr. (Sürth),1,19,2,20,210,Sürth,50999,21008,14,13,94
Bahnhofstr. (Sürth),41,41,22,42,210,Sürth,50999,21004,14,13,94
Bahnhofsvorplatz,1,7,0,2a,103,Altstadt/Nord,50667,10313,04,18,93
Bahnstr. (Heumar),,,10,50,808,Rath/Heumar,51107,80807,41,17,93
Bahnstr. (Rodenkirchen),,,2,16,208,Rodenkirchen,50996,20803,12,13,94
Bahnstr. (Weiden),3,181,2,120,307,Weiden,50858,30705,20,14,94
Bahnwärterweg,,,2,110,501,Nippes,50733,50106,32,15,95
Balduinstr.,1,11,2,20,101,Altstadt/Süd,50676,10115,03,13,94
Baldurstr.,1,29,2,50,808,Rath/Heumar,51107,80802,41,17,93
Balinger Str.,1,17,2,18,507,Bilderstöckchen,50739,50708,31,15,95
Ballenstedter Weg,1,7,2,6,906,Höhenhaus,51061,90605,38,19,101
Ballumer Str.,1,15,2,14,402,Neuehrenfeld,50825,40218,23,15,95
Balmungweg,1,5,2,6,502,Mauenheim,50739,50201,31,16,95
Balsaminenweg,3,39,2,52,603,Seeberg,50769,60301,26,16,95
Balthasarstr.,1,31,2,16,104,Neustadt/Nord,50670,10413,05,18,93
Balthasarstr.,43,59,18,36,104,Neustadt/Nord,50670,10422,05,18,93
Balthasarstr.,61,95,46,84,104,Neustadt/Nord,50670,10421,05,18,93
Bamberger Str.,1,3,2,20,804,Höhenberg,51103,80401,44,18,93
Baptiststr.,1,37,2,44,611,Roggendorf/Thenhoven,50769,61102,29,16,95
Baptiststr.,41,81,54,58,611,Roggendorf/Thenhoven,50769,61101,29,16,95
Barbarastr.,1,69,2,78,503,Riehl,50735,50307,33,16,95
Barbarastr. (Rodenkirchen),1,65,28,46,208,Rodenkirchen,50996,20805,12,13,94
Barbarastr. (Wahnheide),1,67,2,74,710,Wahnheide,51147,71002,10,17,93
Barbarossaplatz,1,5,2,10,102,Neustadt/Süd,50674,10223,03,13,94
Barbarossaplatz,7,7,,,102,Neustadt/Süd,50674,10224,03,13,94
Barcelona-Allee,,,2,6,802,Kalk,51103,80209,42,18,93
Bardenheuerstr.,1,5,,,303,Lindenthal,50931,30308,18,14,94
Barlachweg,,,2,30,405,Bocklemünd/Mengenich,50829,40505,25,15,95
Barmer Platz,,,,,105,Deutz,50679,10501,06,18,93
Barmer Str.,,,,,105,Deutz,50679,10501,06,18,93
Barrensteiner Str.,1,7,2,8,604,Heimersdorf,50767,60403,26,16,95
Barthel-Giesen-Str.,1,11,6,20,711,Wahn,51147,71106,10,17,93
Barthelstr.,75,91,2,64,401,Ehrenfeld,50823,40108,22,15,95
Barthelstr.,93,121a,,,401,Ehrenfeld,50823,40109,22,15,95
Barthelstr.,123,127,84,88,401,Ehrenfeld,50823,40103,22,15,95
Bartholomäus-Schink-Str.,45,75,2,6a,401,Ehrenfeld,50825,40118,22,15,95
Bartholomäusstr.,1,29,2,30,707,Urbach,51145,70705,09,17,93
Baseler Weg,1,43,,,901,Mülheim,51063,90123,37,19,101
Baseler Weg,,,2,12,901,Mülheim,51063,90122,37,19,101
Basilius-Besler-Weg,1,3,,,304,Braunsfeld,50933,30403,19,14,94
Basilius-Besler-Weg,,,2,10,305,Müngersdorf,50933,30503,19,14,94
Bataverstr.,1,21,2,28,105,Deutz,50679,10509,06,18,93
Baudriplatz,1,17,2,16,501,Nippes,50733,50110,32,15,95
Baudristr.,3,9,2,8,501,Nippes,50733,50110,32,15,95
Bauerbankstr.,7,25,2,6,205,Zollstock,50969,20503,13,13,94
Bauerbankstr.,27,33,8,14,205,Zollstock,50969,20504,13,13,94
Bauknechtweg,1,3,2,6,603,Seeberg,50769,60304,26,16,95
Baumberger Str.,1,21,2,24,506,Longerich,50737,50604,30,16,95
Baumeister-Bühler-Str.,3,19,2,26,308,Lövenich,50859,30808,21,14,94
Baumläuferweg,1,25,2,24,404,Vogelsang,50829,40404,25,15,95
Baumschulenweg,1,15,,,701,Poll,51105,70109,07,17,93
Baumschulenweg,,,2,18,701,Poll,51105,70108,07,17,93
Baumschulenweg (Eil),,,,,705,Eil,51107,70503,08,17,93
Baumstr.,,,8,8,101,Altstadt/Süd,50676,10119,01,13,94
Bayardsgasse,3,5,4,4,101,Altstadt/Süd,50676,10119,01,13,94
Bayenstr.,1,15,28,30,101,Altstadt/Süd,50678,10113,01,13,94
Bayenstr.,49,69,,,101,Altstadt/Süd,50678,10109,01,13,94
Bayenthalgürtel,3,33a,2,58,202,Marienburg,50968,20201,12,13,94
Bayenthalgürtel,35,63,66,72,202,Marienburg,50968,20202,12,13,94
Bayenwerft,,,12,16,101,Altstadt/Süd,50678,10108,01,13,94
Bayerische Allee,1,1,2,2,306,Junkersdorf,50858,30609,20,14,94
Bayreuther Str.,1,5,,,804,Höhenberg,51103,80401,44,18,93
Beatenweg,,,2,10,703,Ensen,51149,70304,07,17,93
Bebelplatz,1,23,2,22,105,Deutz,50679,10513,06,18,93
Bechergasse,1,13,,,103,Altstadt/Nord,50667,10304,04,18,93
Bechergasse,,,2,10,103,Altstadt/Nord,50667,10305,04,18,93
Bechsteinstr.,1,25,2,24,904,Holweide,51067,90404,40,19,101
Beckenkampstr.,1,9,2,4,305,Müngersdorf,50933,30504,20,14,94
Beckmannweg,1,17,,,405,Bocklemünd/Mengenich,50829,40507,25,15,95
Beckumer Str.,1,25,2,14,806,Merheim,51109,80603,44,17,93
Beethovenstr.,1,13,,,102,Neustadt/Süd,50674,10230,03,13,94
Beethovenstr.,15,35,2,30,102,Neustadt/Süd,50674,10229,03,13,94
Beethovenstr. (Junkersdorf),3,39,2,30,306,Junkersdorf,50858,30608,20,14,94
Beethovenstr. (Rodenkirchen),1,7,2,6,208,Rodenkirchen,50999,20814,14,13,94
Beethovenstr. (Urbach),3,13,2,44,707,Urbach,51145,70703,09,17,93
Begonienweg,,,2,30,603,Seeberg,50769,60301,26,16,95
Behringstr.,1,15,2,12,303,Lindenthal,50931,30324,19,14,94
Behringweg,1,71,,,606,Pesch,50767,60602,28,16,95
Beisselweg,1,7,2,6,709,Grengel,51147,70901,09,17,93
Belaweg,1,11,2,12,907,Dünnwald,51069,90706,38,19,101
Belfortstr.,9,19,2,14,104,Neustadt/Nord,50668,10423,05,18,93
Beller Weg,1,15,2,18,306,Junkersdorf,50858,30602,20,14,94
Bellerkreuzweg,11,49,2,48,601,Merkenich,50769,60103,29,16,95
Bellinger Weg,1,25,2,14,605,Lindweiler,50767,60501,28,16,95
Belvederestr.,1,159,4,124,305,Müngersdorf,50933,30505,20,14,94
Belvederestr.,201,213,,,309,Widdersdorf,50829,30901,21,14,94
Benderstr.,15,37,12,36,612,Worringen,50769,61204,29,16,95
Bendorfer Weg,,,2,16,801,Humboldt/Gremberg,51105,80103,43,18,93
Benediktusgasse,1,7,4,14,105,Deutz,50679,10504,06,18,93
Benesisstr.,1,25,4,34,103,Altstadt/Nord,50672,10302,04,18,93
Benesisstr.,29,63,36,66,103,Altstadt/Nord,50672,10301,04,18,93
Benfleetstr.,1,9b,,,307,Weiden,50858,30701,20,14,94
Benfleetstr.,,,4,10,307,Weiden,50858,30702,20,14,94
Benfleetstr.,11,47,12,16,307,Weiden,50858,30712,21,14,94
Benjaminstr.,3,25,2,26,105,Deutz,50679,10511,06,18,93
Bennauerstr.,1,1,,,706,Porz,51143,70607,11,17,93
Bennoplatz,,,2,14,804,Höhenberg,51103,80401,44,18,93
Bennstr.,1,11,2,8,809,Neubrück,51109,80902,45,18,93
Benrather Str.,1,3,2,32,506,Longerich,50737,50604,30,16,95
Bensberger Marktweg,7,85,4,20,905,Dellbrück,51069,90518,39,19,101
Bensberger Marktweg,351,393,322,422,905,Dellbrück,51069,90516,39,19,101
Bensberger Str.,,,,,705,Eil,51107,70503,08,17,93
Bensheimer Str.,1,15,2,28,805,Ostheim,51107,80506,45,18,93
Berberitzenweg,25,31,2,36,603,Seeberg,50769,60303,26,16,95
Bergengruenstr.,1,43,2,46,809,Neubrück,51109,80901,45,18,93
Bergerstr.,1,53,2,42,706,Porz,51143,70605,11,17,93
Bergerstr.,63,153,60,108,706,Porz,51145,70602,08,17,93
Bergerstr.,155,215,120,174,705,Eil,51145,70507,08,17,93
Bergerstr.,223,249,,,705,Eil,51145,70504,08,17,93
Berghauser Str.,1,11,2,8,506,Longerich,50737,50601,30,16,95
Bergheimer Weg,1,27,30,30,506,Longerich,50737,50603,30,16,95
Bergisch Gladbacher Str.,5,161,2,152a,901,Mülheim,51065,90113,36,19,101
Bergisch Gladbacher Str.,167,269,170,250,903,Buchheim,51063,90301,35,19,101
Bergisch Gladbacher Str.,415,465,378,444,904,Holweide,51067,90410,40,19,101
Bergisch Gladbacher Str.,471,535,446,556,904,Holweide,51067,90408,40,19,101
Bergisch Gladbacher Str.,557,759,564,754,904,Holweide,51067,90404,40,19,101
Bergisch Gladbacher Str.,781,829,778,848,905,Dellbrück,51069,90504,39,19,101
Bergisch Gladbacher Str.,835,981,858,1006,905,Dellbrück,51069,90503,39,19,101
Bergisch Gladbacher Str.,983,1103,1008,1116,905,Dellbrück,51069,90508,39,19,101
Bergisch Gladbacher Str.,1109,1209,1124,1248,905,Dellbrück,51069,90507,39,19,101
Bergische Str.,1,9,2,10,307,Weiden,50858,30704,20,14,94
Bergischer Ring,29,71,40,40,901,Mülheim,51063,90106,36,19,101
Bergiusstr.,,,2,16,902,Buchforst,51065,90202,35,19,101
Bergstr.,1,47,4,14d,502,Mauenheim,50739,50204,31,16,95
Bergstr.,49,103,16,66,502,Mauenheim,50739,50203,31,16,95
Bergstr.,105,117,68,74,502,Mauenheim,50739,50202,31,16,95
Bergstr. (Sürth),3,49,2,50,210,Sürth,50999,21008,14,13,94
Bergstr. (Sürth),51,79,52,82,210,Sürth,50999,21007,14,13,94
Bergwinkel,1,19,,,210,Sürth,50999,21008,14,13,94
Berliner Str.,1,103,2,116,901,Mülheim,51063,90119,36,19,101
Berliner Str.,111,229,118,232,901,Mülheim,51063,90121,36,19,101
Berliner Str.,255,279,300,366,906,Höhenhaus,51061,90605,38,19,101
Berliner Str.,281,281,368,518,906,Höhenhaus,51061,90604,38,19,101
Berliner Str.,525,589,,,906,Höhenhaus,51061,90602,38,19,101
Berliner Str.,775,829,,,907,Dünnwald,51069,90703,38,19,101
Berliner Str.,839,927,850,938,907,Dünnwald,51069,90707,38,19,101
Berliner Str.,929,1027,940,1020,907,Dünnwald,51069,90704,38,19,101
Berliner Str. (Weiden),1,21,12,20,307,Weiden,50859,30709,21,14,94
Berliner Str. (Westhoven),1,1,2,2,702,Westhoven,51149,70205,07,17,93
Berliner Str. (Westhoven),5,33,8,36,702,Westhoven,51149,70204,07,17,93
Berlin-Kölnische Allee,,,2,4,205,Zollstock,50969,20509,13,13,94
Berlin-Kölnische Allee,,,,,205,Zollstock,50969,20509,13,13,94
Bernanosweg,1,5,2,24,809,Neubrück,51109,80901,45,18,93
Bernburger Weg,1,11,4,6,906,Höhenhaus,51061,90608,38,19,101
Berndorffstr.,,,2,6,201,Bayenthal,50968,20106,12,13,94
Berner Str.,1,61,2,26,901,Mülheim,51063,90122,37,19,101
Bernhard-Falk-Str.,1,57,2,58,506,Longerich,50737,50609,30,16,95
Bernhard-Feilchenfeld-Str.,1,1,,,205,Zollstock,50969,20508,13,13,94
Bernhard-Feilchenfeld-Str.,3,13,2,46,205,Zollstock,50969,20507,13,13,94
Bernhard-Günther-Str.,,,6,20,504,Niehl,50735,50404,30,16,95
Bernhard-Letterhaus-Str.,17,51,2,40,104,Neustadt/Nord,50670,10415,05,18,93
Bernhardstr.,1,103,12,110,201,Bayenthal,50968,20103,12,13,94
Bernhardstr.,105,121,116,126,201,Bayenthal,50968,20104,12,13,94
Bernhardstr.,135,165,132,172,201,Bayenthal,50968,20107,12,13,94
Bernkasteler Str.,1,71,,,205,Zollstock,50969,20510,13,13,94
Bernkasteler Str.,,,52,74,205,Zollstock,50969,20511,13,13,94
Berrenrather Str.,119,139,134,138,302,Sülz,50937,30205,16,14,94
Berrenrather Str.,155,185,150,198,302,Sülz,50937,30208,16,14,94
Berrenrather Str.,197,221,200,208,302,Sülz,50937,30209,16,14,94
Berrenrather Str.,,,216,266,302,Sülz,50939,30209,16,14,94
Berrenrather Str.,311,353,270,296,302,Sülz,50937,30221,17,14,94
Berrenrather Str.,,,330,334,302,Sülz,50937,30220,17,14,94
Berrenrather Str.,355,373,340,358,302,Sülz,50937,30219,17,14,94
Berrenrather Str.,377,411,364,398,302,Sülz,50937,30213,17,14,94
Berrenrather Str.,419,477,406,448,302,Sülz,50937,30216,17,14,94
Berrenrather Str.,527,549,468,602,302,Sülz,50937,30215,17,14,94
Berrischstr.,1,187,2,192c,611,Roggendorf/Thenhoven,50769,61101,29,16,95
Bert-Fenger-Str.,,,4,24,306,Junkersdorf,50858,30606,20,14,94
Bertha-Benz-Karree,1,11,2,26,805,Ostheim,51107,80503,45,18,93
Bertha-von-Suttner-Str.,1,51,,,904,Holweide,51067,90411,40,19,101
Bertoldistr.,13,21,2,6,901,Mülheim,51065,90106,36,19,101
Bertolt-Brecht-Str.,1,57,2,26,405,Bocklemünd/Mengenich,50829,40503,25,15,95
Bertramstr.,1,65,10,50,802,Kalk,51103,80202,42,18,93
Bertramstr.,,,2,8a,802,Kalk,51103,80207,42,18,93
Bertramstr.,69,105,62,90,802,Kalk,51103,80201,42,18,93
Bertramstr. (Weiß),1,33,2,28,209,Weiß,50999,20905,14,13,94
Berwartsteinweg,1,9,2,8,507,Bilderstöckchen,50739,50703,31,15,95
Berzdorfer Str.,1,29,2,40,212,Immendorf,50997,21202,15,13,94
Besenbinderstr.,1,21,2,28,705,Eil,51145,70504,08,17,93
Besselstr.,1,41,10,34,902,Buchforst,51065,90202,35,19,101
Beßlen Käulchen,1,17c,2,86,612,Worringen,50769,61202,29,16,95
Bethlehem-Platz,,,,,309,Widdersdorf,50859,30906,21,14,94
Betzdorfer Str.,1,1,2,2,105,Deutz,50679,10507,06,18,93
Beuelsweg,1,29,6,26,501,Nippes,50733,50124,33,15,95
Beuthener Str.,17,25,16,26,903,Buchheim,51065,90308,35,19,101
Bevingsweg,1,19,2,20g,806,Merheim,51109,80604,44,17,93
Bevingsweg,,,22,26,806,Merheim,51109,80601,44,17,93
Bez.Sportanl.Prälat Ludw.Wolker,,,,,401,Ehrenfeld,50823,40112,22,15,95
Biberstr.,1,7,2,8,101,Altstadt/Süd,50678,10110,01,13,94
Biberstr.,9,37,10,68,101,Altstadt/Süd,50678,10109,01,13,94
Biberweg,3,3,4,6,308,Lövenich,50859,30809,21,14,94
Biegerstr.,9,19,22,28,901,Mülheim,51063,90104,36,19,101
Bielefelder Str.,1,17,2,24,506,Longerich,50737,50603,30,16,95
Bielefelder Str. (Eil),,,2,10,705,Eil,51145,70507,08,17,93
Bieselweg,1,27,2,10a,710,Wahnheide,51147,71004,10,17,93
Bieselweg,,,12,60,710,Wahnheide,51147,71005,10,17,93
Biesfelder Str.,1,7,2,6,905,Dellbrück,51069,90509,39,19,101
Biesterfeldstr.,3,7,2,4,404,Vogelsang,50829,40406,25,15,95
Biggestr.,1,23,2,2,303,Lindenthal,50931,30324,19,14,94
Bilharzstr.,1,17,2,28,908,Stammheim,51061,90805,37,19,101
Bilsteiner Str.,1,9,2,6,806,Merheim,51109,80606,44,17,93
Bindingstr.,1,41,2,22,809,Neubrück,51109,80901,45,18,93
Birgitstr.,5,7,,,209,Weiß,50999,20906,14,13,94
Birkenallee (Heumar),1,21,2,28,808,Rath/Heumar,51107,80807,41,17,93
Birkenallee (Junkersdorf),1,5,2,16,306,Junkersdorf,50858,30604,20,14,94
Birkenallee (Junkersdorf),,,18,32,306,Junkersdorf,50858,30605,20,14,94
Birkenfelder Str.,1,23,2,40,302,Sülz,50935,30233,17,14,94
Birkenstr.,1,15,2,30,208,Rodenkirchen,50996,20801,12,13,94
Birkenweg,,,2,4,907,Dünnwald,51069,90708,38,19,101
Birkenweg,7,19,,,906,Höhenhaus,51061,90611,38,19,101
Birkenweg,21,39,,,906,Höhenhaus,51061,90603,38,19,101
Birkenweg (Grengel),1,23,2,50,709,Grengel,51147,70903,09,17,93
Birkenweg (Hochkirchen),1,63,2,66,206,Rondorf,50997,20609,15,13,94
Birkenweg (Hochkirchen),65,95,68,158,206,Rondorf,50997,20610,15,13,94
Birkenweg (Pesch),1,5,,,606,Pesch,50767,60606,28,16,95
Birkenweg (Widdersdorf),1,3,2,2,309,Widdersdorf,50859,30905,21,14,94
Birkhuhnweg,1,17,2,4,404,Vogelsang,50829,40402,25,15,95
Birresborner Str.,3,55,2,40,303,Lindenthal,50935,30301,18,14,94
Bisamweg,,,,,308,Lövenich,50859,30808,21,14,94
Bischofsgartenstr.,1,1,4,4,103,Altstadt/Nord,50667,10304,04,18,93
Bischofsweg,1,1a,0,52,203,Raderberg,50969,20302,13,13,94
Bismarckstr.,1,23,2,44,104,Neustadt/Nord,50672,10407,04,18,93
Bismarckstr.,25,37,,,104,Neustadt/Nord,50672,10408,04,18,93
Bismarckstr.,39a,53,46,74,104,Neustadt/Nord,50672,10405,04,18,93
Bismarckstr. (Rodenkirchen),1,31,2,16,208,Rodenkirchen,50996,20806,14,13,94
Bistritzer Str.,1,123,2,124,307,Weiden,50858,30701,20,14,94
Bitburger Str.,1,7,2,8,303,Lindenthal,50935,30301,18,14,94
Bitterstr.,1,125,2,106,612,Worringen,50769,61204,29,16,95
Bitzweg,1,5,2,14,714,Zündorf,51143,71401,11,17,93
Blankenheimer Str.,1,59,2,56,302,Sülz,50937,30219,17,14,94
Blasiusstr.,5,25,8,30,213,Meschenich,50997,21304,15,13,94
Blaubach,1,3,,,101,Altstadt/Süd,50676,10101,01,13,94
Blaubach,7,13,2,34,101,Altstadt/Süd,50676,10120,06,13,94
Blaue-Funken-Weg,,,2,2,101,Altstadt/Süd,50677,10107,01,13,94
Blaugasse,1,41,2,46,309,Widdersdorf,50859,30902,21,14,94
Blautannenweg,5,19,2,18,206,Rondorf,50997,20609,15,13,94
Bleicheroder Weg,1,9,2,8,906,Höhenhaus,51061,90605,38,19,101
Bleichstr.,1,25,2,18,901,Mülheim,51063,90106,36,19,101
Blériotstr.,1,13,2,20,406,Ossendorf,50827,40603,24,15,95
Bliesheimer Str.,1,13,,,204,Raderthal,50968,20402,12,13,94
Blockstr.,9,67,56,70,608,Volkhoven/Weiler,50765,60801,26,16,95
Blockstr.,,,80,80a,611,Roggendorf/Thenhoven,50769,61101,29,16,95
Blücherstr.,3,17,2,10,501,Nippes,50733,50117,32,15,95
Blücherstr.,19,25,12,18,501,Nippes,50733,50118,32,15,95
Blücherstr. (Rodenkirchen),1,7,2,18,208,Rodenkirchen,50996,20805,12,13,94
Blumenallee,1,51a,6,16,306,Junkersdorf,50858,30604,20,14,94
Blumenallee,51b,55,20,26,306,Junkersdorf,50858,30603,20,14,94
Blumenbergsweg,,,,,602,Fühlingen,50769,60201,29,16,95
Blumenbergsweg,,,,,610,Blumenberg,50765,61003,27,16,95
Blumenstr.,3,17,2,20,103,Altstadt/Nord,50670,10314,04,18,93
Blumental,1,23,2,36,206,Rondorf,50997,20607,15,13,94
Blumenthalstr.,1,31,2,32,104,Neustadt/Nord,50670,10419,05,18,93
Blumenthalstr.,33,33,50,52,104,Neustadt/Nord,50670,10418,05,18,93
Blumenthalstr.,73,97,54,72,104,Neustadt/Nord,50668,10425,05,18,93
Boberweg,,,,,609,Chorweiler,50765,60904,27,16,95
Böblinger Str.,,,2,22,507,Bilderstöckchen,50739,50708,31,15,95
Bobstr.,7,9,2,36,101,Altstadt/Süd,50676,10117,03,13,94
Bocholter Str.,1,15,,,806,Merheim,51109,80603,44,17,93
Bocholter Str.,,,2,14,806,Merheim,51109,80605,44,17,93
Bochumer Str.,1,13,2,18,804,Höhenberg,51103,80404,44,18,93
Bochumer Str. (Eil),1,5,4,14,705,Eil,51145,70507,08,17,93
Böcking-Park,,,,,901,Mülheim,51063,90118,37,19,101
Böckingstr.,1,67,2,74,901,Mülheim,51063,90118,37,19,101
