Straßenschlüssel;Straßenname;Stadtteilnummer;Stadtteilname;Postleitzahl;Stimmbezirk;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlbezirk;ungerade Hausnummer von;ungerade Hausnummer bis;gerade Hausnummer von;gerade Hausnummer bis
00711;Derichsweilerweg;603;Seeberg;50769;60306;95;16;26;1;11;;
03612;Derkumer Str.;204;Raderthal;50968;20403;94;13;12;9;11;2;12
00712;Dernbacher Weg;604;Heimersdorf;50767;60402;95;16;26;1;27a;2;36
00713;Dessauerstr.;505;Weidenpesch;50737;50502;95;16;34;1;15;2;14
00714;Detmolder Str.;806;Merheim;51109;80603;93;17;44;1;9;2;16
00714;Detmolder Str.;806;Merheim;51109;80605;93;17;44;15;41;22;42
00715;Deutschordensstr.;903;Buchheim;51067;90306;101;19;35;3;13;2;18
00716;Deutzer Brücke;103;Altstadt/Nord;50667;10304;93;18;4;;;;
00716;Deutzer Brücke;105;Deutz;50679;10502;93;18;6;;;;
00717;Deutzer Feld;105;Deutz;50679;10501;93;18;6;;;0;
00718;Deutzer Freiheit;105;Deutz;50679;10502;93;18;6;47;113;60;116
00719;Deutzer Hafen;105;Deutz;50679;10512;93;18;6;;;0;
03560;Deutzer Ring;105;Deutz;50679;10507;93;18;6;5;5;;
04411;Deutzer Weg;706;Porz;51143;70605;93;17;11;9;25;;
00721;Deutz-Kalker Str.;105;Deutz;50679;10506;93;18;6;1;7;2;28c
00721;Deutz-Kalker Str.;105;Deutz;50679;10507;93;18;6;11;115;46;142b
00722;Deutz-Mülheimer Str.;105;Deutz;50679;10501;93;18;6;29;51;10;30
00722;Deutz-Mülheimer Str.;901;Mülheim;51063;90102;101;19;35;107;153;170;202
00722;Deutz-Mülheimer Str.;901;Mülheim;51063;90101;101;19;35;;;132;168
00722;Deutz-Mülheimer Str.;901;Mülheim;51063;90103;101;19;36;165;199;204;292
00722;Deutz-Mülheimer Str.;901;Mülheim;51063;90104;101;19;36;203;233;298;352
00723;De-Vries-Str.;501;Nippes;50733;50124;95;15;33;1;19;2;20
00724;Dhünner Weg;906;Höhenhaus;51061;90611;101;19;38;1;11;2;4
03513;Diemelweg;609;Chorweiler;50765;60903;95;16;27;15;25;;
04412;Diepenbeekallee;307;Weiden;50858;30704;94;14;20;3;15;2;32
00725;Diependahlstr.;908;Stammheim;51061;90806;101;19;37;1;3;2;12
00726;Diepeschrather Str.;905;Dellbrück;51069;90502;101;19;39;1;57;2;68
00727;Dierather Weg;906;Höhenhaus;51061;90603;101;19;38;1;19;2;12
00728;Dierdorfer Weg;604;Heimersdorf;50767;60402;95;16;26;1;19;2;30
00729;Dieringhauser Str.;807;Brück;51109;80702;93;17;41;1;29;2;20
00730;Dieselstr.;802;Kalk;51103;80205;93;18;42;1;29;2;22
00730;Dieselstr.;802;Kalk;51103;80203;93;18;42;31;63;24;54
04413;Dieselstr. (Lövenich);308;Lövenich;50859;30808;94;14;21;1;21;2;24
04414;Dieselstr. (Sürth);207;Hahnwald;50996;20701;94;13;15;9;15;2;18
00731;Diesterwegstr.;807;Brück;51109;80703;93;17;41;1;69;2b;16
00732;Dietrichweg;502;Mauenheim;50739;50201;95;16;31;;;2;10
00733;Dillenburger Str.;802;Kalk;51105;80209;93;18;42;1;27;4;110
00733;Dillenburger Str.;802;Kalk;51105;80204;93;18;42;63;101;;
00734;Dillweg;906;Höhenhaus;51061;90607;101;19;38;;;;
00735;Dinkelsbühler Str.;804;Höhenberg;51103;80401;93;18;44;;;2;6
00736;Dionysstr.;506;Longerich;50739;50611;95;16;30;1;27;;
00736;Dionysstr.;506;Longerich;50739;50612;95;16;30;;;2;32
04417;Dischkaul;715;Langel;51143;71501;93;17;11;1;19;8;10
06150;Distelfalterweg;208;Rodenkirchen;50999;20814;94;13;14;;;;
04418;Distelpfad;306;Junkersdorf;50858;30604;94;14;20;;;;
04419;Distelweg;711;Wahn;51147;71101;93;17;10;1;17;;
04419;Distelweg;711;Wahn;51147;71102;93;17;10;;;4;12
00737;Dixberg;701;Poll;51105;70105;93;17;7;1;11;2;14
03669;Döbrabergstr.;610;Blumenberg;50765;61001;95;16;27;;;2;26
00739;Dohlenweg;404;Vogelsang;50829;40401;95;15;25;1;47;2;48
04420;Dohlenweg (Rondorf);206;Rondorf;50997;20603;94;13;15;1;19;2;22
00740;Dohmengasse;405;Bocklemünd/Mengenich;50829;40502;95;15;25;3;17;2;4
04421;Doktorshof;607;Esch/Auweiler;50765;60702;95;16;28;;;0;
00741;Dollendorfer Str.;301;Klettenberg;50939;30103;94;14;16;1;21;2;22
00742;Domagkstr.;908;Stammheim;51063;90801;101;19;37;;;2;18
00743;Dombacher Str.;903;Buchheim;51065;90306;101;19;35;1;41;2;16
00744;Domgäßchen;103;Altstadt/Nord;50667;10304;93;18;4;;;;
05944;Dominikus-Böhm-Str.;210;Sürth;50999;21004;94;13;14;1;57;2;34
00745;Domkloster;103;Altstadt/Nord;50667;10304;93;18;4;1;3;2;4
00746;Dompfaffenweg;404;Vogelsang;50829;40401;95;15;25;1;53;2;48
04423;Dompfaffenweg (Godorf);211;Godorf;50997;21102;94;13;15;3;5a;4;4
00368;Dompropst-Ketzer-Str.;103;Altstadt/Nord;50667;10313;93;18;4;1;5;8;8
00747;Domstr.;103;Altstadt/Nord;50668;10307;93;18;4;1;45;6;32
00747;Domstr.;103;Altstadt/Nord;50668;10306;93;18;4;47;59;34;64a
00747;Domstr.;103;Altstadt/Nord;50668;10308;93;18;4;77;97;66;92
00748;Donarstr.;808;Rath/Heumar;51107;80801;93;17;41;1;31a;2;40
00748;Donarstr.;808;Rath/Heumar;51107;80802;93;17;41;33;77a;42;90
04425;Donatusstr.;606;Pesch;50767;60601;95;16;28;7;37;2;28
04425;Donatusstr.;606;Pesch;50767;60602;95;16;28;39;45;;
04425;Donatusstr.;606;Pesch;50767;60601;95;16;28;99;137;;
00749;Donatusweg;608;Volkhoven/Weiler;50765;60803;95;16;26;1;29;2;42
00750;Donauweg;906;Höhenhaus;51061;90603;101;19;38;;;2;12
04426;Donauweg (Junkersdorf);306;Junkersdorf;50858;30605;94;14;20;1;45;14;30
00751;Don-Bosco-Str.;901;Mülheim;51063;90121;101;19;36;1;3;2;2
00752;Donnersbergweg;507;Bilderstöckchen;50739;50702;95;15;31;1;33;20;26
00753;Dorfheidestr.;907;Dünnwald;51069;90705;101;19;38;27;41;6;52
00755;Dormagener Str.;501;Nippes;50733;50103;95;15;32;1;7;4;16
00738;Dörnchensweg;612;Worringen;50769;61205;95;16;29;1;21;2;6
00756;Dornröschenhecke;904;Holweide;51067;90401;101;19;40;;;;
00756;Dornröschenhecke;905;Dellbrück;51067;90522;101;19;39;;;;
04427;Dornröschenweg;206;Rondorf;50997;20607;94;13;15;1;13;2;8
00757;Dornstr.;612;Worringen;50769;61205;95;16;29;1;39;6;42
04428;Dorotheenstr.;706;Porz;51145;70601;93;17;8;1a;1a;;
04428;Dorotheenstr.;707;Urbach;51145;70703;93;17;9;;;2;12
04428;Dorotheenstr.;707;Urbach;51145;70702;93;17;9;;;16;40
04428;Dorotheenstr.;707;Urbach;51145;70701;93;17;9;61;61;46;60
06126;Dorothee-Sölle-Platz;104;Neustadt/Nord;50672;10410;93;18;4;1;7;2;2
00758;Dortmunder Str.;902;Buchforst;51065;90204;101;19;35;27;39;26;40
00758;Dortmunder Str.;902;Buchforst;51065;90203;101;19;35;41;63;42;58
04430;Dortmunder Str. (Eil);705;Eil;51145;70507;93;17;8;1;35;18;40
05470;Dr.-Johannes-Honnef-Str.;308;Lövenich;50859;30803;94;14;21;1;11;2;14a
03761;Dr.-Scheeben-Str.;807;Brück;51109;80701;93;17;41;;;6;10
03579;Dr.-Simons-Str.;105;Deutz;50679;10512;93;18;6;1;7;20;20
00759;Drachenfelsstr.;301;Klettenberg;50939;30103;94;14;16;1;59;2;78
04431;Drachenfelsstr. (Meschenich);213;Meschenich;50997;21301;94;13;15;3;9;4;8
05807;Drachmenweg;308;Lövenich;50859;30807;94;14;21;1;21;2;22
00760;Dransdorfer Str.;204;Raderthal;50968;20401;94;13;12;1;43;2;68
00761;Dreifelder Weg;605;Lindweiler;50767;60502;95;16;28;1;15;2;26
00762;Dreikönigenstr.;101;Altstadt/Süd;50678;10110;94;13;1;1;13;2;22
00762;Dreikönigenstr.;101;Altstadt/Süd;50678;10109;94;13;1;15;23;24;24
00762;Dreikönigenstr.;101;Altstadt/Süd;50678;10110;94;13;1;;;24a;24a
00762;Dreikönigenstr.;101;Altstadt/Süd;50678;10109;94;13;1;;;26;54
04433;Dreikönigenstr. (Rondorf);206;Rondorf;50997;20604;94;13;15;1;37;2;34
04433;Dreikönigenstr. (Rondorf);206;Rondorf;50997;20605;94;13;15;39;55;36;66
00763;Dreisamweg;906;Höhenhaus;51061;90609;101;19;38;9;59;4;48
00764;Dresdener Str.;904;Holweide;51067;90411;101;19;40;1;9;2;20
00765;Dresenhofweg;608;Volkhoven/Weiler;50765;60802;95;16;26;1;1;28;32
00765;Dresenhofweg;608;Volkhoven/Weiler;50765;60801;95;16;26;51;57;34;74
00766;Driburger Str.;806;Merheim;51109;80603;93;17;44;1;13;2;12
04435;Drieschstr.;702;Westhoven;51149;70205;93;17;7;;;2;12
00767;Drosselbartstr.;904;Holweide;51067;90404;101;19;40;1;23;2;30
04436;Drosselbartweg;206;Rondorf;50997;20607;94;13;15;;;2;10
04439;Drosselstr. (Junkersdorf);306;Junkersdorf;50858;30601;94;14;20;1;23;2;26
04437;Drosselstr. (Porz);702;Westhoven;51149;70205;93;17;7;1;13;2;6
04437;Drosselstr. (Porz);703;Ensen;51149;70301;93;17;7;;;20;22
00768;Drosselweg;504;Niehl;50735;50407;95;16;34;1;63;2;48
04440;Drosselweg (Esch);607;Esch/Auweiler;50765;60705;95;16;28;3;43;2;50
04441;Drosselweg (Godorf);211;Godorf;50997;21102;94;13;15;1;15;2;14
00769;Droste-Hülshoff-Str.;201;Bayenthal;50968;20107;94;13;12;1;23;2;20
04443;Droste-Hülshoff-Str. (Weiden);307;Weiden;50858;30704;94;14;20;3;11;2;12
00770;Drususgasse;103;Altstadt/Nord;50667;10304;93;18;4;1;11;;
00772;Dückergasse;903;Buchheim;51065;90305;101;19;35;11;15;12;20
00771;Duckterather Str.;905;Dellbrück;51069;90512;101;19;39;1;35;2;12
03584;Duckterather Weg;905;Dellbrück;51069;90507;101;19;39;39;39;;
00784;Duisburger Str.;504;Niehl;50735;50406;95;16;33;11;35;4;42
04446;Duisburger Str. (Eil);705;Eil;51145;70508;93;17;8;1;31;2;64
05808;Dukatenweg;308;Lövenich;50859;30807;94;14;21;1;17;10;18
05880;Dülkenstr.;706;Porz;51143;70604;93;17;11;1;21;2;18
00774;Dünnwalder Kommunalweg;906;Höhenhaus;51069;90605;101;19;38;1;1a;;
00774;Dünnwalder Kommunalweg;908;Stammheim;51061;90805;101;19;37;;;2;26
00774;Dünnwalder Kommunalweg;907;Dünnwald;51069;90703;101;19;38;;;;
00775;Dünnwalder Mauspfad;907;Dünnwald;51069;90708;101;19;38;15;289;6;292
00775;Dünnwalder Mauspfad;907;Dünnwald;51069;90709;101;19;38;309;345;306;336
00775;Dünnwalder Mauspfad;907;Dünnwald;51069;90705;101;19;38;355;433;346;432
00775;Dünnwalder Mauspfad;907;Dünnwald;51069;90704;101;19;38;435;461;434;436
00776;Dünnwalder Mühlenweg;907;Dünnwald;51069;90708;101;19;38;;;4;4
00777;Dünnwalder Str.;901;Mülheim;51063;90118;101;19;37;1;53;6;66
04447;Dunstablestr.;705;Eil;51145;70501;93;17;8;3;7;2;8
00778;Düppelstr.;105;Deutz;50679;10502;93;18;6;3;39;2;24
04448;Durchhäuserhof;808;Rath/Heumar;51107;80810;93;17;41;61;65;6;62
00779;Dürener Str.;303;Lindenthal;50931;30323;94;14;18;59;235;44;212
00779;Dürener Str.;303;Lindenthal;50931;30322;94;14;18;237;253;218;248
00779;Dürener Str.;303;Lindenthal;50935;30319;94;14;18;273;353;252;294
00779;Dürener Str.;303;Lindenthal;50935;30320;94;14;18;357;395;320;408
00779;Dürener Str.;306;Junkersdorf;50858;30606;94;14;20;401;405;;
00779;Dürener Str.;306;Junkersdorf;50858;30609;94;14;20;407;441;420;466
00785;Durginweg;907;Dünnwald;51069;90706;101;19;38;1;23;2;8
00786;Durlacher Str.;805;Ostheim;51107;80504;93;18;45;;;2;20
00786;Durlacher Str.;805;Ostheim;51107;80503;93;18;45;5;27;;
06029;Duroweg;706;Porz;51143;70608;93;17;11;;;;
00781;Dürscheider Str.;905;Dellbrück;51067;90520;101;19;39;1;7;2;16
00782;Düsseldorfer Str.;901;Mülheim;51063;90117;101;19;37;1;217;28;200
00782;Düsseldorfer Str.;901;Mülheim;51063;90118;101;19;37;;;2;24
00782;Düsseldorfer Str.;901;Mülheim;51063;90121;101;19;36;;;246;246
00782;Düsseldorfer Str.;909;Flittard;51061;90904;101;19;37;;;400;600
00782;Düsseldorfer Str.;908;Stammheim;51061;90805;101;19;37;491;493;330;336
00782;Düsseldorfer Str.;909;Flittard;51061;90903;101;19;37;601;611;;
04444;Düsseldorfer Str. (Eil);705;Eil;51145;70508;93;17;8;1;35;2;64
00783;Düstemichstr.;302;Sülz;50939;30204;94;14;16;1;3;2;16
00787;Ebereschenweg;604;Heimersdorf;50767;60405;95;16;26;1;27a;2;14
04449;Ebereschenweg (Grengel);709;Grengel;51147;70901;93;17;9;1;19;2;14
00788;Ebernburgweg;507;Bilderstöckchen;50739;50704;95;15;31;1;63;50;60
00789;Ebersbacher Str.;507;Bilderstöckchen;50739;50706;95;15;31;1;17;2;8
00790;Ebertplatz;104;Neustadt/Nord;50668;10423;93;18;5;1;23;0;16
00791;Eburonenstr.;102;Neustadt/Süd;50678;10207;94;13;2;1;19;;
00791;Eburonenstr.;102;Neustadt/Süd;50678;10208;94;13;2;;;2;18
00792;Echternacher Str.;304;Braunsfeld;50933;30404;94;14;19;1;25;2;14
00793;Eckdorfer Str.;204;Raderthal;50968;20401;94;13;12;1;9;2;8
00794;Eckernförder Str.;901;Mülheim;51065;90110;101;19;36;1;17;2;18
00795;Eckertstr.;303;Lindenthal;50931;30304;94;14;18;1;11;2;4
00795;Eckertstr.;303;Lindenthal;50931;30305;94;14;18;;;6;18
00796;Eckewartstr.;502;Mauenheim;50739;50204;95;16;31;19a;19a;6;26
00796;Eckewartstr.;502;Mauenheim;50739;50203;95;16;31;55;83;28;46
00797;Eckumer Str.;604;Heimersdorf;50767;60403;95;16;26;1;15b;14;16
00798;Eddaweg;906;Höhenhaus;51061;90610;101;19;38;1;7;2;28
00799;Edelhofstr.;909;Flittard;51061;90901;101;19;37;15;15;6;62
00800;Edelrather Weg;906;Höhenhaus;51061;90601;101;19;38;1;13;2;18
00801;Edelweißweg;603;Seeberg;50769;60302;95;16;26;1;33;2;26
00802;Edenkobener Str.;507;Bilderstöckchen;50739;50705;95;15;31;1;15;2;8
00803;Edisonstr.;805;Ostheim;51107;80505;93;18;45;;;0;
04452;Edisonstr. (Porz);706;Porz;51145;70601;93;17;8;1;35;2a;40
00804;Edith-Stein-Str.;901;Mülheim;51063;90101;101;19;35;1;19;2;38
03726;Edith-Weyde-Str.;909;Flittard;51061;90904;101;19;37;;;;
04453;Edmund-Richen-Str.;607;Esch/Auweiler;50765;60705;95;16;28;1;83;2;38
05886;Edmund-Rumpler-Str.;704;Gremberghoven;51149;70401;93;17;8;1;5;2;6
00805;Edmund-ter-Meer-Str.;909;Flittard;51061;90907;101;19;37;1;57;2;28
00806;Edsel-Ford-Str.;601;Merkenich;50769;60105;95;16;29;1;21;2;26
03623;Eduard-Frantzen-Str.;909;Flittard;51061;90901;101;19;37;1;39;6;28
00807;Eduard-Heis-Str.;909;Flittard;51061;90902;101;19;37;1;15;2;26
06083;Eduard-Strasburger-Weg;305;Müngersdorf;50933;30503;94;14;19;1;31;2;32
00808;Efeuplatz;701;Poll;51105;70101;93;17;7;1;7;2;16
04454;Efferenweg;206;Rondorf;50997;20601;94;13;15;1;19;2;16
00809;Egelspfad;305;Müngersdorf;50933;30506;94;14;20;;;;
04456;Egerstr.;707;Urbach;51145;70701;93;17;9;5;11;2;28
00810;Eggerbachstr.;806;Merheim;51109;80601;93;17;44;13;13;2;20
00810;Eggerbachstr.;904;Holweide;51067;90412;101;19;40;;;;
00811;Egilmarstr.;909;Flittard;51061;90903;101;19;37;3;3;2;6a
04457;Egmontstr.;707;Urbach;51145;70703;93;17;9;1;7;6;32
00812;Egonstr.;908;Stammheim;51061;90805;101;19;37;23;25;2;106
00812;Egonstr.;909;Flittard;51061;90901;101;19;37;;;150;152
00813;Ehrenbergstr.;503;Riehl;50735;50306;95;16;33;1;13;2;14
00814;Ehrenfeldgürtel;401;Ehrenfeld;50823;40105;95;15;22;1;7;2;20
00814;Ehrenfeldgürtel;401;Ehrenfeld;50823;40118;95;15;22;79;133;76;126
00814;Ehrenfeldgürtel;402;Neuehrenfeld;50823;40209;95;15;23;139;157;130;158
00814;Ehrenfeldgürtel;402;Neuehrenfeld;50823;40208;95;15;23;159;181;160;180
00815;Ehrenstr.;103;Altstadt/Nord;50672;10301;93;18;4;1;81;64;102
00815;Ehrenstr.;103;Altstadt/Nord;50672;10303;93;18;4;;;2;58
00816;Ehreshover Str.;504;Niehl;50735;50411;95;16;34;1;5;2;14
00817;Eibenweg;604;Heimersdorf;50767;60405;95;16;26;1;31;2;12
04459;Eibenweg (Rodenkirchen);208;Rodenkirchen;50999;20814;94;13;14;1;5;2;10
00818;Eichelhäherweg;404;Vogelsang;50829;40402;95;15;25;1;13;2;10
00819;Eichendorffstr.;402;Neuehrenfeld;50823;40208;95;15;23;1;25;2;28
00819;Eichendorffstr.;402;Neuehrenfeld;50825;40210;95;15;23;27;49;30;46
04460;Eichendorffstr. (Grengel);709;Grengel;51147;70903;93;17;9;1;47;6;42
04461;Eichendorffstr. (Weiden);307;Weiden;50858;30706;94;14;21;3;7;4;6
00820;Eichenkreuz-Sportanlage;303;Lindenthal;50935;30318;94;14;18;;;;
04463;Eichenstr.;306;Junkersdorf;50858;30606;94;14;20;1;39;4;30
04464;Eichenweg;309;Widdersdorf;50859;30905;94;14;21;1;39;2;46
00821;Eichhornstr.;504;Niehl;50735;50409;95;16;34;;;2;12k
00821;Eichhornstr.;504;Niehl;50735;50410;95;16;34;7;17;14;18
00822;Eichstr.;501;Nippes;50733;50120;95;15;32;5;33;2;40
00822;Eichstr.;501;Nippes;50733;50122;95;15;33;35;37;42;48
00822;Eichstr.;501;Nippes;50733;50121;95;15;33;39;57;50;62
04468;Eifelallee;306;Junkersdorf;50858;30602;94;14;20;1;11;;
04468;Eifelallee;306;Junkersdorf;50858;30601;94;14;20;;;2;8
00823;Eifelplatz;102;Neustadt/Süd;50677;10222;94;13;2;1;21;2;4
00824;Eifelstr.;102;Neustadt/Süd;50677;10220;94;13;2;1;37;2;36
00824;Eifelstr.;102;Neustadt/Süd;50677;10222;94;13;2;39;41;40;78
00825;Eifelwall;205;Zollstock;50969;20509;94;13;13;1;1;;
00825;Eifelwall;102;Neustadt/Süd;50674;10221;94;13;2;3;5;22;56
00826;Eifgenweg;906;Höhenhaus;51061;90602;101;19;38;1;33;;
00826;Eifgenweg;906;Höhenhaus;51061;90601;101;19;38;;;2;42
00827;Eigelstein;103;Altstadt/Nord;50668;10310;93;18;5;25;147;10;134
00828;Eikamper Str.;905;Dellbrück;51069;90504;101;19;39;3;15;4;16
00829;Eilendorfer Str.;305;Müngersdorf;50933;30503;94;14;19;3;5;10;24
06117;Eiler Parkweg;705;Eil;51145;70505;93;17;8;;;;
06117;Eiler Parkweg;706;Porz;51145;70601;93;17;8;;;;
06119;Eiler Schützenplatz;705;Eil;51145;70505;93;17;8;;;;
00830;Eiler Str.;808;Rath/Heumar;51107;80810;93;17;41;3;113;2;88
00830;Eiler Str.;808;Rath/Heumar;51107;80806;93;17;41;129;147;96;124
00831;Einhardstr.;302;Sülz;50937;30209;94;14;16;1;13;2;16
00832;Einheitstr.;501;Nippes;50733;50111;95;15;32;1;25;4;26
00833;Einherierstr.;808;Rath/Heumar;51107;80801;93;17;41;1;19;2;8
00834;Einsteinstr.;909;Flittard;51061;90902;101;19;37;1;49;2;14
04471;Einsteinstr. (Porz);706;Porz;51145;70601;93;17;8;1;11;;
00835;Eintrachtstr.;103;Altstadt/Nord;50668;10310;93;18;5;13;25;2;38
00835;Eintrachtstr.;103;Altstadt/Nord;50668;10312;93;18;5;51;113;54;124a
00836;Eisenachstr.;501;Nippes;50733;50108;95;15;32;1;59;2;44
00838;Eisenmarkt;103;Altstadt/Nord;50667;10305;93;18;4;;;2;14
00839;Eisenstr.;401;Ehrenfeld;50825;40104;95;15;22;1;45;;
00840;Eiserfelder Str.;807;Brück;51109;80705;93;17;41;1;37;2;34
00841;Eisheiligenstr.;402;Neuehrenfeld;50825;40215;95;15;23;1;41;2;72
03737;Eiskaulenweg;807;Brück;51109;80707;93;17;41;;;;
00842;Eispohlweg;612;Worringen;50769;61202;95;16;29;1;7;2;8
05867;Eisvogelweg;206;Rondorf;50997;20605;94;13;15;1;25;2;20
00843;Eitorfer Str.;105;Deutz;50679;10507;93;18;6;3;31;4;26
03516;Elbeallee;609;Chorweiler;50765;60905;95;16;27;11;27;;
04472;Elbinger Str.;206;Rondorf;50997;20602;94;13;15;9;13;2;50
00844;Eliasgasse;506;Longerich;50739;50611;95;16;30;7;15;6;16
00845;Elias-Gut-Str.;908;Stammheim;51061;90801;101;19;37;1;13;;
00846;Elisabeth-Breuer-Str.;901;Mülheim;51065;90111;101;19;36;1;45;2;34
00846;Elisabeth-Breuer-Str.;901;Mülheim;51065;90112;101;19;36;47;63;36;50
00847;Elisabeth-Langgässer-Str.;809;Neubrück;51109;80901;93;18;45;1;11;;
06141;Elisabeth-Moses-Str.;905;Dellbrück;51069;90509;101;19;39;;;;
03573;Elisabeth-Schäfer-Weg;903;Buchheim;51065;90302;101;19;35;;;;
06084;Elisabeth-Schiemann-Weg;305;Müngersdorf;50933;30503;94;14;19;1;9;2;4
05942;Elisabeth-Selbert-Str.;210;Sürth;50999;21004;94;13;14;1;45;2;34
04473;Elisabethstr. (Pesch);606;Pesch;50767;60603;95;16;28;3;11;2;22
04474;Elisabethstr. (Wahnheide);710;Wahnheide;51147;71002;93;17;10;1;17;;
03904;Elisabeth-Treskow-Platz;102;Neustadt/Süd;50678;10202;94;13;2;1;1;2;2
06134;Elisabeth-von-Mumm-Platz;302;Sülz;50937;30218;94;14;17;1;9;2;8
00848;Elisenstr.;103;Altstadt/Nord;50667;10303;93;18;4;1;23;4;28
04476;Elisenstr. (Ensen);703;Ensen;51149;70304;93;17;7;11;55;2;68
04476;Elisenstr. (Ensen);703;Ensen;51149;70301;93;17;7;63;97;76;106
03980;Elise-Richter-Platz;303;Lindenthal;50931;30304;94;14;18;;;;
00849;Elkemannstr.;612;Worringen;50769;61205;95;16;29;1;23;2;22
06121;Elogiusplatz;103;Altstadt/Nord;50667;10304;93;18;4;;;;
00850;Elsa-Brändström-Str.;104;Neustadt/Nord;50668;10424;93;18;5;9;9;2;12
00851;Elsaßstr.;102;Neustadt/Süd;50677;10209;94;13;2;1;53;2;32
00851;Elsaßstr.;102;Neustadt/Süd;50677;10214;94;13;2;;;34;56
00851;Elsaßstr.;102;Neustadt/Süd;50677;10213;94;13;2;59;69;;
04477;Elsdorfer Gasse;714;Zündorf;51143;71410;93;17;11;17;29;2;42
04478;Elsdorfer Str.;707;Urbach;51145;70707;93;17;9;3;29;2;34
03794;Else-Falk-Str.;506;Longerich;50737;50605;95;16;30;1;19;2;16
05962;Else-Lang-Str.;306;Junkersdorf;50858;30606;94;14;20;1;13;2;24
00852;Elsenborner Str.;304;Braunsfeld;50933;30401;94;14;19;1;27;2;26
00853;Elstergasse;103;Altstadt/Nord;50667;10302;93;18;4;1;3;;
04479;Elsternweg;206;Rondorf;50997;20603;94;13;15;3;5;2;12
04480;Elsterweg;703;Ensen;51149;70301;93;17;7;1;23;2;14
00854;Eltener Str.;501;Nippes;50733;50126;95;15;33;1;11;2;10
00855;Elvekumer Str.;507;Bilderstöckchen;50739;50709;95;15;31;1;5;2;6
06127;Elvira-Tuszik-Str.;611;Roggendorf/Thenhoven;50769;61102;95;16;29;1;55;2;58
00856;Elzstr.;302;Sülz;50937;30218;94;14;17;1;7;2;10
03907;Em Parkveedel;501;Nippes;50733;50115;95;15;32;1;31;;
00857;Embergweg;907;Dünnwald;51061;90703;101;19;38;1;29;38;50
00858;Emdener Str.;504;Niehl;50735;50404;95;16;30;37;115;4;278
00858;Emdener Str.;601;Merkenich;50769;60105;95;16;29;117;117;;
04482;Emil-Hoffmann-Str.;207;Hahnwald;50996;20701;94;13;15;1;59;4;42
05982;Emil-Lichius-Str.;710;Wahnheide;51147;71005;93;17;10;;;2;12
04483;Emil-Nolde-Str.;208;Rodenkirchen;50999;20813;94;13;14;1;15;2;14
00859;Emil-Picard-Str.;406;Ossendorf;50827;40603;95;15;24;1;11;2;18
04484;Emil-Schreiterer-Platz;307;Weiden;50858;30706;94;14;21;3;7;6;8
00860;Emilstr.;403;Bickendorf;50827;40305;95;15;24;;;2;54
00860;Emilstr.;403;Bickendorf;50827;40306;95;15;24;7;49;;
00861;Emmastr.;302;Sülz;50937;30210;94;14;16;1;27;8;14
00861;Emmastr.;302;Sülz;50937;30209;94;14;16;;;2;6
00862;Emmericher Str.;504;Niehl;50735;50406;95;16;33;5;19;6;22
05923;Emmy-Noether-Str.;306;Junkersdorf;50858;30609;94;14;20;9;9;10;12
00863;Emser Str.;801;Humboldt/Gremberg;51105;80102;93;18;42;1;17;2;2
00865;En de Fluhdänne;907;Dünnwald;51069;90706;101;19;38;1;3;2;8
00864;Enckestr.;303;Lindenthal;50935;30318;94;14;18;1;5;2;8
00866;Engelbertstr.;102;Neustadt/Süd;50674;10229;94;13;3;1;31a;;
00866;Engelbertstr.;102;Neustadt/Süd;50674;10230;94;13;3;;;2;38
00866;Engelbertstr.;102;Neustadt/Süd;50674;10231;94;13;3;33;51;38a;42
00866;Engelbertstr.;102;Neustadt/Süd;50674;10235;94;13;3;55;67;44;52
04486;Engeldorfer Str.;213;Meschenich;50997;21303;94;13;15;1;107;2;120
00867;Engelkestr.;405;Bocklemünd/Mengenich;50829;40505;95;15;25;1;35;2;20
00868;Engelskircher Str.;807;Brück;51109;80702;93;17;41;1;15;2;6
00869;Engelsstr.;802;Kalk;51103;80208;93;18;42;1;7;2;14
00869;Engelsstr.;802;Kalk;51103;80207;93;18;42;9;31;18;42
04487;Engelstr.;702;Westhoven;51149;70205;93;17;7;1;7;6;10
00870;Enggasse;103;Altstadt/Nord;50668;10313;93;18;4;1;1;;
00870;Enggasse;103;Altstadt/Nord;50667;10313;93;18;4;;;2;2
04488;Enggasse (Zündorf);714;Zündorf;51143;71406;93;17;11;1;21;;
04488;Enggasse (Zündorf);714;Zündorf;51143;71405;93;17;11;;;4;16
00871;Ennenstr.;402;Neuehrenfeld;50825;40216;95;15;23;1;21;2;20
06124;Enrique-Schmidt-Cuadra-Weg ;302;Sülz;50937;30205;94;14;16;;;;
00872;Ensener Str.;701;Poll;51105;70108;93;17;7;1;9;2;18
04489;Ensener Weg (Porz);706;Porz;51149;70604;93;17;11;1;21;8;20
04489;Ensener Weg (Porz);703;Ensen;51149;70306;93;17;7;;;46;68
04491;Ensener Weg (Weiß);209;Weiß;50999;20902;94;13;14;;;2;28i
04491;Ensener Weg (Weiß);209;Weiß;50999;20901;94;13;14;9;53;32;52
00873;Ensorstr.;301;Klettenberg;50939;30101;94;14;16;1;21;2;6a
00874;Entenweg;404;Vogelsang;50829;40402;95;15;25;1;27;2;26a
