Wahlbezirk;Wahlgebäude;Straße;Nr;NrZusatz;PLZ;Ort;Behindertengerecht
90101, 90102;Gesamtschule Mülheim;Ferdinandstr.;43;;51063;Köln;j
90103, 90104, 90105, 90106;Johann-Bendel-Realschule;Danzierstr.;146;a;51063;Köln;j
90107, 90108, 90109, 90110, 90111, 90112;Ferdinand-Lassalle-Realschule;Lassallestr.;59;;51065;Köln;j
90113, 90114;Außenstelle Gymnasium Genovevastraße;Holweider Str. ;2;;51065;Köln;j
90115, 90116;GGS Mülheimer Freiheit;Mülheimer Freiheit;99;;51063;Köln;j
90117, 90118;Rhein-Gymnasium;Düsseldorfer Str.;13;;51063;Köln;j
90119;KGS Langemaß;Langemaß;21;;51063;Köln;j
90122, 90123;KGS Luzerner Weg;Luzerner Weg;72;;51063;Köln;j
90201, 90202, 90203, 90204;"GGS Kopernikusstr.";Kopernikusstr.;40;;51065;Köln;n
90301;"GGS An St. Theresia";An St.Theresia;1;;51067;Köln;j
90302, 90303, 90304;Nelson-Mandela-Schule;Wuppertaler Str.;19;;51067;Köln;j
90305, 90306;"GGS Alte Wipperfürther Str.";Alte Wipperfürther Str.;49;;51065;Köln;j
90307, 90308;Herder-Gymnasium;Kattowitzer Str.;52;;51065;Köln;j
90401, 90402, 90403, 90404;KGS Neufelder Str. ;Neufelder Str.;2;;51067;Köln;j
90407, 90408, 90409, 90410;GGS Buschfeldstr.;Buschfeldstr.;46;;51067;Köln;j
90411, 90412, 90413;Gesamtschule Holweide;Burgwiesenstr.;125;;51067;Köln;j
90501, 90502, 90503, 90504, 90505, 90506, 90507, 90508;KGS Urnenstr.;Urnenstr.;7;;51069;Köln;n
90509, 90510, 90511, 90512, 90513, 90514, 90515, 90516, 90517;GGS Dellbrücker Hauptstr.;Dellbrücker Hauptstr.;16;;51069;Köln;j
90601, 90602, 90603;Rosenmaarschule ;Am Rosenmaar;3;;51061;Köln;j
90604, 90605;GGS Von-Bodelschwingh-Str.;Von-Bodelschwingh-Str.;24;;51061;Köln;j
90606, 90607, 90608, 90609;"GGS Honschaftsstr.";Honschaftsstr.;312;;51061;Köln;j
90610, 90611, 90612, 90613;Schule Thymianweg;Thymianweg;1;a;51061;Köln;j
90701, 90702, 90703;KGS Am Portzenacker;Am Portzenacker;1;b;51069;Köln;j
90704, 90705;Förderschule Berliner Str.;Berliner Str.;975;;51069;Köln;j
90706, 90707, 90708, 90709;GGS Leuchterstr.;Leuchterstr.;25;;51069;Köln;j
90801, 90802, 90803, 90804;GGS Ricarda-Huch-Str.;Ricarda-Huch-Str.;60;;51061;Köln;j
90805, 90806;KGS Diependahlstr.;Diependahlstr.;12;;51061;Köln;j
90901, 90902, 90903;GGS Am Feldrain;Am Feldrain ;10;;51061;Köln;j
90904, 90905, 90906, 90907;"OGS Regenbogenschule ";Peter-Grieß-Str.;5-7;;51061;Köln;n
