vote_district_id,vote_letter_id,wlk_eu,wlk_gm,address,name,full_address,barrier_free,note
20507,20573,1    ,13   ,Bernhard-Feilchenfeld-Str. 5,Seniorenhaus Rosenpark,50969 Köln,J,
20508,20573,1    ,13   ,Bernhard-Feilchenfeld-Str. 5,Seniorenhaus Rosenpark,50969 Köln,J,
20509,20572,1    ,13   ,Rosenzweigweg 3,GGS Rosenzweigweg,50969 Köln,J,
20510,20573,1    ,13   ,Bernkasteler Str. 9,St.-Nikolaus-Schule,50969 Köln,J,
20511,20573,1    ,13   ,Bernkasteler Str. 9,St.-Nikolaus-Schule,50969 Köln,J,
20512,20574,1    ,13   ,Brüggener Str. 1,Alfred-Müller-Armack-Berufskolleg,50969 Köln,J,
20513,20574,1    ,13   ,Brüggener Str. 1,Alfred-Müller-Armack-Berufskolleg,50969 Köln,J,
20514,20574,1    ,13   ,Brüggener Str. 1,Alfred-Müller-Armack-Berufskolleg,50969 Köln,J,
20515,20574,1    ,13   ,Brüggener Str. 1,Alfred-Müller-Armack-Berufskolleg,50969 Köln,J,
20516,20575,1    ,13   ,Bornheimer Str. 1a,Ev. Kirchengemeinde,50969 Köln,J,
20517,20575,1    ,13   ,Bornheimer Str. 1a,Ev. Kirchengemeinde,50969 Köln,J,
20518,20575,1    ,13   ,Bornheimer Str. 1a,Ev. Kirchengemeinde,50969 Köln,J,
20601,20671,1    ,15   ,Adlerstr. 13,Anne-Frank-Schule,50997 Köln,J,
20602,20671,1    ,15   ,Adlerstr. 13,Anne-Frank-Schule,50997 Köln,J,
20603,20671,1    ,15   ,Adlerstr. 13,Anne-Frank-Schule,50997 Köln,J,
20604,20671,1    ,15   ,Adlerstr. 13,Anne-Frank-Schule,50997 Köln,J,
20605,20672,1    ,15   ,Carl-Jatho-Str. 1,Evang. Kirchengemeinde,50997 Köln,J,
20606,20672,1    ,15   ,Carl-Jatho-Str. 1,Evang. Kirchengemeinde,50997 Köln,J,
20607,20672,1    ,15   ,Adlerstr. 13,Anne-Frank-Schule,50997 Köln,J,
20608,20672,1    ,15   ,Adlerstr. 13,Anne-Frank-Schule,50997 Köln,J,
20609,20672,1    ,15   ,Adlerstr. 13,Anne-Frank-Schule,50997 Köln,J,
20610,20672,1    ,15   ,Adlerstr. 13,Anne-Frank-Schule,50997 Köln,J,
20701,20771,1    ,15   ,Bonner Landstr. 100,Pflanzen Mohr,50996 Köln,J,
20702,20771,1    ,15   ,Bonner Landstr. 100,Pflanzen Mohr,50996 Köln,J,
20801,20871,1    ,12   ,Sürther Str. 55,Gymnasium Rodenkirchen,50996 Köln,J,
20802,20871,1    ,12   ,Sürther Str. 55,Gymnasium Rodenkirchen,50996 Köln,J,
20803,20871,1    ,12   ,Brückenstr. 21,Caritas-Altenzentrum St. Maternus,50996 Köln,J,
20804,20872,1    ,12   ,Hauptstr. 85,Bezirksrathaus Rodenkirchen,50996 Köln,J,
20805,20872,1    ,12   ,Hauptstr. 85,Bezirksrathaus Rodenkirchen,50996 Köln,J,
20806,20873,1    ,14   ,Ringelnatzstr. 12,GHS Ringelnatzstraße,50996 Köln,J,
20807,20873,1    ,14   ,Ringelnatzstr. 12,GHS Ringelnatzstraße,50996 Köln,J,
20808,20873,1    ,14   ,Sürther Str. 55,Gymnasium Rodenkirchen,50996 Köln,J,
20809,20874,1    ,14   ,Sürther Str. 55,Gymnasium Rodenkirchen,50996 Köln,J,
20810,20874,1    ,14   ,Sürther Str. 55,Gymnasium Rodenkirchen,50996 Köln,J,
20811,20874,1    ,14   ,Mainstr. 75,Ernst-Moritz-Arndt-Schule,50996 Köln,J,Eingang Saarstr.
20812,20875,1    ,14   ,Mainstr. 75,Ernst-Moritz-Arndt-Schule,50996 Köln,J,Eingang Saarstr.
20813,20875,1    ,14   ,Mainstr. 75,Ernst-Moritz-Arndt-Schule,50996 Köln,J,Eingang Saarstr.
20814,20875,1    ,14   ,Sürther Str. 171,Berufsförderungswerk Köln,50999 Köln,J,
20901,20971,1    ,14   ,Zum Hedelsberg 13,Albert-Schweitzer-Schule,50999 Köln,J,
20902,20971,1    ,14   ,Zum Hedelsberg 13,Albert-Schweitzer-Schule,50999 Köln,J,
20903,20971,1    ,14   ,Zum Hedelsberg 13,Albert-Schweitzer-Schule,50999 Köln,J,
20904,20972,1    ,14   ,Zum Hedelsberg 13,Albert-Schweitzer-Schule,50999 Köln,J,
20905,20972,1    ,14   ,Zum Hedelsberg 13,Albert-Schweitzer-Schule,50999 Köln,J,
20906,20972,1    ,14   ,Zum Hedelsberg 13,Albert-Schweitzer-Schule,50999 Köln,J,
21001,21071,1    ,14   ,Zum Hedelsberg 13,Albert-Schweitzer-Schule,50999 Köln,J,
21002,21071,1    ,14   ,Zum Hedelsberg 13,Albert-Schweitzer-Schule,50999 Köln,J,
21003,21071,1    ,14   ,Sürther Hauptstr. 149,Brüder-Grimm-Schule,50999 Köln,J,
21004,21072,1    ,14   ,Sürther Hauptstr. 149,Brüder-Grimm-Schule,50999 Köln,J,
21005,21072,1    ,14   ,Sürther Hauptstr. 149,Brüder-Grimm-Schule,50999 Köln,J,
