zip;;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
50825;;Alpenerstr.;1;27;6;24;Ehrenfeld;40124;15;;
50825;;Alpenerstr.;29;37;26;34;Ehrenfeld;40123;15;;
50767;;Alpenroder Weg;1;27;2;36;Lindweiler;60501;16;;
50769;;Alpenrosenweg;1;7;;;Seeberg;60301;16;;
50769;;Alpenrosenweg;;;2;14;Seeberg;60302;16;;
51061;;Alradstr.;1;21;4;44;Flittard;90903;19;;
50933;;Alsdorfer Str.;1;23;2;6;Braunsfeld;30401;14;;
50679;;Alsenstr.;1;25;6;20;Deutz;10502;18;;
50969;;AlstÃ¤dter Str.;1;23;2;26;Zollstock;20515;13;;
50739;;Altbaumburgweg;11;;2;58;BilderstÃ¶ckchen;50702;15;;
50739;;Altdahnweg;1;13;2;12;BilderstÃ¶ckchen;50703;15;;
51143;;Alte Apotheke;1;15;2;18;ZÃ¼ndorf;71403;17;;
50997;;Alte BrÃ¼hler Str.;1;5;;;Meschenich;21303;13;;
50997;;Alte BrÃ¼hler Str.;17;25a;8;22;Meschenich;21304;13;;
50997;;Alte BrÃ¼hler Str.;27;187;26;62;Meschenich;21303;13;;
51147;;Alte Burgstr.;1;41a;4;38;Libur;71301;17;;
50997;;Alte Fischenicher Str.;1;51;2;52;Meschenich;21304;13;;
51107;;Alte Forststr.;5;53;2;4;Rath/Heumar;80812;17;;
51143;;Alte Gasse;3;;;;ZÃ¼ndorf;71406;17;;
51143;;Alte Gasse;9;;;;ZÃ¼ndorf;71401;17;;
51147;;Alte Heide;1;53b;2;58;Wahnheide;71007;17;;
50999;;Alte Kirchgasse;1;23;2;46;SÃ¼rth;21009;13;;
50858;;Alte Klosterstr.;1;25;2;26;Junkersdorf;30602;14;;
50997;;Alte KÃ¶lnstr.;1;35;4;76;Meschenich;21301;13;;
51147;;Alte Magazinstr.;1;17;16;20;Wahnheide;71003;17;;
50676;;Alte Mauer am Bach;;;36;64;Altstadt/SÃ¼d;10118;13;;
50769;;Alte Neusser Landstr.;137;;;;Worringen;61206;16;;
50769;;Alte Neusser Landstr.;139;211;170;234;Worringen;61207;16;;
50769;;Alte Neusser Landstr.;213;251;240;268;Worringen;61206;16;;
50769;;Alte Neusser Landstr.;253;299;272;310;Worringen;61205;16;;
50999;;Alte Rheinstr.;1;17;2;10;WeiÃŸ;20904;13;;
50769;;Alte RÃ¶merstr.;5;;;;Merkenich;60105;16;;
50769;;Alte RÃ¶merstr.;69;151;52;134;Merkenich;60102;16;;
50769;;Alte RÃ¶merstr.;167;173;;;Merkenich;60101;16;;
50859;;Alte Sandkaul;1;31;2;20b;Widdersdorf;30904;14;;
50769;;Alte Str.;1;9c;2a;;Worringen;61201;16;;
50769;;Alte Str.;;;100;166;Worringen;61203;16;;
50859;;Alte Str.(Widdersdorf);1;47;2;36;Widdersdorf;30903;14;;
50859;;Alte Str.(Widdersdorf);49;57;38;40;Widdersdorf;30902;14;;
50672;;Alte Wallgasse;;;2;10;Altstadt/Nord;10303;18;;
50672;;Alte Wallgasse;5;31;;;Altstadt/Nord;10301;18;;
51065;;Alte WipperfÃ¼rther Str.;3;53;2;70;Buchheim;90305;19;;
51065;;Alte WipperfÃ¼rther Str.;59;71;72;82;Buchheim;90306;19;;
50678;;Alteburger Platz;1;;2;;Neustadt/SÃ¼d	;10205;13;;
50968;;Alteburger Str.;;;0a;;Bayenthal;20101;13;;
50678;;Alteburger Str.;1;13;2;14;Altstadt/SÃ¼d;10112;13;;
50678;;Alteburger Str.;15;69;16;18;Neustadt/SÃ¼d	;10203;13;;
50678;;Alteburger Str.;;;20;54;Neustadt/SÃ¼d	;10204;13;;
50678;;Alteburger Str.;;;56;66;Neustadt/SÃ¼d	;10207;13;;
50678;;Alteburger Str.;;;70;82;Neustadt/SÃ¼d	;10205;13;;
50678;;Alteburger Str.;79;89;;;Neustadt/SÃ¼d	;10208;13;;
50678;;Alteburger Str.;101;121;;;Neustadt/SÃ¼d	;10205;13;;
50678;;Alteburger Str.;127;127a;;;Neustadt/SÃ¼d	;10206;13;;
50968;;Alteburger Str.;139;157;140;144;Bayenthal;20101;13;;
50968;;Alteburger Str.;191;303;180;212;Bayenthal;20102;13;;
50968;;Alteburger Str.;;;218;254;Bayenthal;20103;13;;
50968;;Alteburger Str.;;;268;306;Bayenthal;20105;13;;
50968;;Alteburger Str.;311;379;334;338;Bayenthal;20106;13;;
50678;;Alteburger Wall;1;31;2;18;Neustadt/SÃ¼d	;10205;13;;
51061;;Altenauer Weg;1;5;2;4;HÃ¶henhaus;90605;19;;
50668;;Altenberger Str.;1a;41;16;18;Altstadt/Nord;10307;18;;
51145;;Altenberger Str.(Eil);1;39;2;44;Eil;70507;17;;
50668;;AltengrabengÃ¤ÃŸchen;1;19;;;Altstadt/Nord;10313;18;;
50767;;Altenhofer Weg;1;29;2;44;Heimersdorf;60402;16;;
50827;;Altenhofstr.;1;9;4;;Ossendorf;40601;15;;
51107;;Alter Deutzer Postweg;;;0;;Gremberghoven;80503;18;;
51107;;Alter Deutzer Postweg;;;0;;Ostheim;80503;18;;
51107;;Alter Deutzer Postweg;1;77;2;;Ostheim;80503;18;;
51149;;Alter Deutzer Postweg;;;2a;;Ostheim;80503;18;;
51107;;Alter Deutzer Postweg;;;4;22;Ostheim;80503;18;;
51149;;Alter Deutzer Postweg;95;;100;;Gremberghoven;70401;17;;
51107;;Alter Deutzer Postweg;121;125;;;Rath/Heumar;80810;17;;
50667;;Alter Markt;;;2;10;Altstadt/Nord;10304;18;;
50667;;Alter Markt;;;18;62;Altstadt/Nord;10305;18;;
50667;;Alter Markt;33;67;;;Altstadt/Nord;10304;18;;
50933;;Alter MilitÃ¤rring;1;43;;;MÃ¼ngersdorf;30502;14;;
50933;;Alter MilitÃ¤rring;;;6;50;MÃ¼ngersdorf;30503;14;;
50933;;Alter MilitÃ¤rring;45;75;;;MÃ¼ngersdorf;30505;14;;
50933;;Alter MilitÃ¤rring;;;56;74;MÃ¼ngersdorf;30502;14;;
50933;;Alter MilitÃ¤rring;;;80;96;MÃ¼ngersdorf;30505;14;;
50679;;Alter MÃ¼hlenweg;11;39;;;Deutz;10512;18;;
50679;;Alter MÃ¼hlenweg;41;63;44;64;Deutz;10513;18;;
50735;;Alter Stammheimer Weg;1;;;;Riehl;50304;16;;
50739;;Altleiningenweg;;;10;40;BilderstÃ¶ckchen;50704;15;;
50737;;Altonaer Platz;;;2;16;Longerich;50604;16;;
50737;;Altonaer Str.;1;41;2;14;Longerich;50604;16;;
50737;;Altonaer Str.;43;65;22;32;Longerich;50603;16;;
51063;;Altstr.;5;9;2;10;MÃ¼lheim;90116;19;;
50668;;Alvenslebenstr.;1;15;2;12;Neustadt/Nord;10425;18;;
50739;;Alzeyer Str.;1;33;2;36;BilderstÃ¶ckchen;50702;15;;
50933;;Am Ackerrain;3;27;2;26;MÃ¼ngersdorf;30506;14;;
50769;;Am Alten Brauhaus;1;9;6;;Merkenich;60101;16;;
51143;;Am Alten Brauhaus(ZÃ¼ndorf);1;15;2;18;ZÃ¼ndorf;71405;17;;
50667;;Am Alten Posthof;3;;4;8;Altstadt/Nord;10302;18;;
50733;;Am Alten Stellwerk;1;53;2;64;Nippes;50106;15;;
51107;;Am Alten Turm;1;13;;;Rath/Heumar;80806;17;;
50668;;Am Alten Ufer;57;;12;;Altstadt/Nord;10307;18;;
50765;;Am Alten Weiher;1;11;10;;Esch/Auweiler;60705;16;;
51105;;Am Altenberger Kreuz;1;17;2;22;Poll;70104;17;;
51143;;Am Anger;1;21;;;ZÃ¼ndorf;71408;17;;
50859;;Am Aspelkreuz;5;29;2;116;Widdersdorf;30901;14;;
50733;;Am Ausbesserungswerk;;;2;36;Nippes;50106;15;;
50769;;Am Bachhof;1;5;;;Roggendorf/Thenhoven;61102;16;;
50767;;Am Baggerfeld;1;;0;10;Esch/Auweiler;60707;16;;
51147;;Am Bahnhof;33;51;0;126;Wahn;71103;17;;
50739;;Am Balsamhof;1;5;2;20;Longerich;50613;16;;
50678;;Am Bayenturm;5;9;6;;Altstadt/SÃ¼d;10113;13;;
50935;;Am Beethovenpark;1;35;2;48;SÃ¼lz;30233;14;;
50769;;Am Bergerhof;1;9;2;28;Worringen;61201;16;;
